W0321 19:05:37.341000 124096 torch/distributed/run.py:803] 
W0321 19:05:37.341000 124096 torch/distributed/run.py:803] *****************************************
W0321 19:05:37.341000 124096 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0321 19:05:37.341000 124096 torch/distributed/run.py:803] *****************************************
logs/final_seed1337.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:80
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:25517137
world_size:8 grad_accum_steps:1
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:524288 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:1337
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:1/20000 train_loss:6.9287 train_time:111ms step_avg:111.25ms
step:2/20000 train_loss:7.9883 train_time:182ms step_avg:91.05ms
step:3/20000 train_loss:7.5060 train_time:254ms step_avg:84.59ms
step:4/20000 train_loss:6.9667 train_time:325ms step_avg:81.33ms
step:5/20000 train_loss:6.6609 train_time:397ms step_avg:79.41ms
step:6/20000 train_loss:7.5281 train_time:469ms step_avg:78.17ms
step:7/20000 train_loss:6.4711 train_time:554ms step_avg:79.14ms
step:8/20000 train_loss:6.3811 train_time:642ms step_avg:80.23ms
step:9/20000 train_loss:6.2961 train_time:716ms step_avg:79.54ms
step:10/20000 train_loss:6.1301 train_time:789ms step_avg:78.86ms
step:500/20000 train_loss:2.3869 train_time:37661ms step_avg:75.32ms
step:1000/20000 train_loss:2.3131 train_time:79427ms step_avg:79.43ms
step:1500/20000 train_loss:2.1792 train_time:117515ms step_avg:78.34ms
step:2000/20000 train_loss:2.1862 train_time:158427ms step_avg:79.21ms
step:2500/20000 train_loss:2.0644 train_time:198995ms step_avg:79.60ms
step:3000/20000 train_loss:2.1605 train_time:236022ms step_avg:78.67ms
step:3500/20000 train_loss:2.1964 train_time:277499ms step_avg:79.29ms
step:4000/20000 train_loss:2.1031 train_time:317113ms step_avg:79.28ms
step:4500/20000 train_loss:2.1834 train_time:360366ms step_avg:80.08ms
step:5000/20000 train_loss:1.9245 train_time:401822ms step_avg:80.36ms
step:5500/20000 train_loss:2.0428 train_time:442530ms step_avg:80.46ms
swa:start step:5850
step:6000/20000 train_loss:2.1023 train_time:485833ms step_avg:80.97ms
step:6500/20000 train_loss:1.9443 train_time:529206ms step_avg:81.42ms
step:7000/20000 train_loss:2.0724 train_time:568434ms step_avg:81.20ms
step:7361/20000 val_loss:1.9598 val_bpb:1.1607 train_time:599975ms step_avg:81.51ms
stopping_early: wallclock_cap train_time:599975ms step:7361/20000
peak memory allocated: 12684 MiB reserved: 12810 MiB
swa:applying averaged 31 checkpoints
Serialized model: 98437419 bytes
Code size: 52930 bytes
Total submission size: 98490349 bytes
Serialized model int6+zstd: 15874157 bytes
Total submission size int8+zlib: 15927087 bytes
final_eval_mode:sliding_window stride:64 batch_seqs:32
  sliding_eval [  0.0%] 32/121136 windows running_bpb=1.215629
  sliding_eval [  1.3%] 1632/121136 windows running_bpb=1.144115
  sliding_eval [  2.7%] 3232/121136 windows running_bpb=1.145139
  sliding_eval [  4.0%] 4832/121136 windows running_bpb=1.138985
  sliding_eval [  5.3%] 6432/121136 windows running_bpb=1.150669
  sliding_eval [  6.6%] 8032/121136 windows running_bpb=1.151926
  sliding_eval [  8.0%] 9632/121136 windows running_bpb=1.153488
  sliding_eval [  9.3%] 11232/121136 windows running_bpb=1.148983
  sliding_eval [ 10.6%] 12832/121136 windows running_bpb=1.146517
  sliding_eval [ 11.9%] 14432/121136 windows running_bpb=1.148280
  sliding_eval [ 13.2%] 16032/121136 windows running_bpb=1.156950
  sliding_eval [ 14.6%] 17632/121136 windows running_bpb=1.155257
  sliding_eval [ 15.9%] 19232/121136 windows running_bpb=1.156491
  sliding_eval [ 17.2%] 20832/121136 windows running_bpb=1.154675
  sliding_eval [ 18.5%] 22432/121136 windows running_bpb=1.153220
  sliding_eval [ 19.8%] 24032/121136 windows running_bpb=1.153480
  sliding_eval [ 21.2%] 25632/121136 windows running_bpb=1.154959
  sliding_eval [ 22.5%] 27232/121136 windows running_bpb=1.155473
  sliding_eval [ 23.8%] 28832/121136 windows running_bpb=1.161584
  sliding_eval [ 25.1%] 30432/121136 windows running_bpb=1.159058
  sliding_eval [ 26.4%] 32032/121136 windows running_bpb=1.160129
  sliding_eval [ 27.8%] 33632/121136 windows running_bpb=1.158776
  sliding_eval [ 29.1%] 35232/121136 windows running_bpb=1.158217
  sliding_eval [ 30.4%] 36832/121136 windows running_bpb=1.157786
  sliding_eval [ 31.7%] 38432/121136 windows running_bpb=1.158383
  sliding_eval [ 33.0%] 40032/121136 windows running_bpb=1.155974
  sliding_eval [ 34.4%] 41632/121136 windows running_bpb=1.154851
  sliding_eval [ 35.7%] 43232/121136 windows running_bpb=1.155250
  sliding_eval [ 37.0%] 44832/121136 windows running_bpb=1.154059
  sliding_eval [ 38.3%] 46432/121136 windows running_bpb=1.153951
  sliding_eval [ 39.7%] 48032/121136 windows running_bpb=1.153212
  sliding_eval [ 41.0%] 49632/121136 windows running_bpb=1.154425
  sliding_eval [ 42.3%] 51232/121136 windows running_bpb=1.155523
  sliding_eval [ 43.6%] 52832/121136 windows running_bpb=1.156069
  sliding_eval [ 44.9%] 54432/121136 windows running_bpb=1.155567
  sliding_eval [ 46.3%] 56032/121136 windows running_bpb=1.155944
  sliding_eval [ 47.6%] 57632/121136 windows running_bpb=1.155079
  sliding_eval [ 48.9%] 59232/121136 windows running_bpb=1.151179
  sliding_eval [ 50.2%] 60832/121136 windows running_bpb=1.151303
  sliding_eval [ 51.5%] 62432/121136 windows running_bpb=1.152240
  sliding_eval [ 52.9%] 64032/121136 windows running_bpb=1.152443
  sliding_eval [ 54.2%] 65632/121136 windows running_bpb=1.152312
  sliding_eval [ 55.5%] 67232/121136 windows running_bpb=1.151092
  sliding_eval [ 56.8%] 68832/121136 windows running_bpb=1.150808
  sliding_eval [ 58.1%] 70432/121136 windows running_bpb=1.150099
  sliding_eval [ 59.5%] 72032/121136 windows running_bpb=1.150180
  sliding_eval [ 60.8%] 73632/121136 windows running_bpb=1.150140
  sliding_eval [ 62.1%] 75232/121136 windows running_bpb=1.150323
