step	type	train_loss	val_bpb	step_ms	gravity
1	F	6.988319		1001.2	
2	N	6.981076		10.8	
3	F	6.952936		96.0	
4	N	6.960755		10.4	
5	F	6.844156		94.8	
6	N	6.890031		9.9	
7	F	6.663308		96.9	
8	N	6.758543		10.4	
9	F	6.501765		95.3	
10	N	6.532574		10.6	
11	F	6.358990		95.2	
12	N	6.301497		11.3	
13	F	6.237881		95.7	
14	N	6.141506		10.6	
15	F	6.114656		97.8	
16	N	6.073684		11.3	
17	F	6.049897		96.8	
18	N	5.983145		11.1	
19	F	5.996453		95.5	
20	N	6.016682		10.3	
21	F	5.981065		94.8	
22	N	6.062915		8.9	
23	F	6.084517		98.5	
24	N	6.066402		9.5	
25	F	6.025537		94.1	
26	N	6.087471		10.1	
27	F	6.056818		95.0	
28	N	5.971572		9.8	
29	F	6.020448		95.3	
30	N	6.022646		10.6	
31	F	6.025544		95.4	
32	N	5.990780		10.9	
33	F	6.005749		96.0	
34	N	5.979499		11.6	
35	F	6.012744		96.4	
36	N	5.962699		9.8	
37	F	5.965328		94.4	
38	N	5.984792		10.5	
39	F	5.965462		94.6	
40	N	5.962578		9.2	
41	F	6.022923		96.0	
42	N	5.898641		9.5	
43	F	5.963280		95.1	
44	N	5.810094		11.3	
45	F	5.881248		95.5	
46	N	5.725321		10.9	
47	F	5.921339		95.9	
48	N	5.681832		11.0	
49	F	5.771210		96.7	
50	N	5.714408		10.0	
50	EVAL		3.495905		
51	F	5.724518		96.7	
52	N	5.649947		9.9	
53	F	5.692665		95.0	
54	N	5.580959		10.7	
55	F	5.631301		96.6	
56	N	5.494974		9.4	
57	F	5.521601		95.2	
58	N	5.442050		10.7	
59	F	5.454439		95.5	
60	N	5.453647		10.2	
61	F	5.480865		94.7	
62	N	5.331177		9.9	
63	F	5.313751		95.6	
64	N	5.164351		9.9	
65	F	5.297801		95.2	
66	N	5.238899		10.0	
67	F	5.284389		94.9	
68	N	5.264404		10.9	
69	F	5.178759		98.2	
70	N	5.203174		11.3	
71	F	5.141260		95.0	
72	N	5.155600		10.3	
73	F	5.151707		96.2	
74	N	5.126618		9.7	
75	F	5.139363		95.0	
76	N	5.070047		9.9	
77	F	5.076161		95.8	
78	N	5.036992		10.9	
79	F	4.977090		95.7	
80	N	4.984431		10.8	
81	F	5.022761		96.1	
82	N	5.297038		10.1	
83	F	5.004391		95.5	
84	N	4.998667		10.5	
85	F	4.999543		97.2	
86	N	4.984944		10.8	
87	F	4.879664		95.7	
88	N	4.968631		10.0	
89	F	4.784980		96.6	
90	N	4.933324		10.3	
91	F	4.860452		96.4	
92	N	4.844979		10.3	
93	F	4.871413		95.8	
94	N	4.889684		10.9	
95	F	4.811425		95.0	
96	N	4.836276		11.0	
97	F	4.803502		95.7	
98	N	4.795324		10.7	
99	F	4.692324		96.1	
100	N	4.853104		11.1	
100	EVAL		2.898748		
101	F	4.702057		94.8	
102	N	4.844267		10.7	
103	F	4.748140		96.5	
104	N	4.767369		9.9	
105	F	4.789207		96.2	
106	N	4.754675		9.6	
107	F	4.722484		96.3	
108	N	4.647623		9.2	
109	F	4.740680		95.5	
110	N	4.672228		10.9	
111	F	4.730219		96.8	
112	N	4.706338		11.3	
113	F	4.698697		95.6	
114	N	4.647175		10.9	
115	F	4.711596		94.9	
116	N	4.637612		11.1	
117	F	4.609160		95.3	
118	N	4.635609		10.8	
119	F	4.662508		96.6	
120	N	4.685233		9.7	
121	F	4.603774		94.8	
122	N	4.554599		10.0	
123	F	4.629781		96.0	
124	N	4.609374		10.6	
125	F	4.603000		97.0	
126	N	4.612462		11.5	
127	F	4.640133		95.8	
128	N	4.592390		11.1	
129	F	4.569885		96.0	
130	N	4.551479		11.7	
131	F	4.538202		96.7	
132	N	4.569429		10.1	
133	F	4.523527		95.9	
134	N	4.543542		11.2	
135	F	4.533710		96.8	
136	N	4.508455		11.1	
137	F	4.590741		95.7	
138	N	4.556663		11.0	
139	F	4.538176		97.7	
140	N	4.487616		10.8	
141	F	4.488628		96.6	
142	N	4.543801		10.7	
143	F	4.487708		96.0	
144	N	4.530640		11.8	
145	F	4.507017		96.1	
146	N	4.501999		11.3	
147	F	4.493261		96.5	
148	N	4.491920		10.2	
149	F	4.416023		96.8	
150	N	4.563461		11.6	
150	EVAL		2.715141		
151	F	4.418613		96.2	
152	N	4.433686		10.4	
153	F	4.449224		96.7	
154	N	4.493817		11.0	
155	F	4.521778		96.8	
156	N	4.488212		11.4	
157	F	4.459917		94.5	
158	N	4.574804		11.1	
159	F	4.510562		95.4	
160	N	4.462162		11.0	
161	F	4.417915		96.0	
162	N	4.477177		11.1	
163	F	4.435661		95.5	
164	N	4.317698		10.6	
165	F	4.338391		95.9	
166	N	4.351338		10.5	
167	F	4.378092		95.9	
168	N	4.431943		11.4	
169	F	4.376709		96.7	
170	N	4.350471		11.7	
171	F	4.417525		95.9	
172	N	4.359823		10.9	
173	F	4.363250		95.2	
174	N	4.412542		10.1	
175	F	4.352515		96.9	
176	N	4.390467		11.2	
177	F	4.367524		94.7	
178	N	4.349907		10.9	
179	F	4.287530		95.1	
180	N	4.300775		8.5	
181	F	4.416848		97.0	
182	N	4.432397		9.2	
183	F	4.332891		96.5	
184	N	4.350939		11.0	
185	F	4.421164		97.1	
186	N	4.408871		11.4	
187	F	4.365114		95.6	
188	N	4.468274		10.6	
189	F	4.319122		95.7	
190	N	4.353556		11.0	
191	F	4.419449		96.5	
192	N	4.455447		10.6	
193	F	4.313242		96.3	
194	N	4.380605		10.7	
195	F	4.307108		95.5	
196	N	4.390627		8.8	
197	F	4.355035		95.7	
198	N	4.340820		10.5	
199	F	4.304395		95.9	
200	N	4.398548		9.5	
200	EVAL		2.615411		
201	F	4.191485		95.4	
202	N	4.292433		10.3	
203	F	4.269810		95.4	
204	N	4.271496		11.4	
205	F	4.310446		96.0	
206	N	4.285833		11.6	
207	F	4.357103		96.9	
208	N	4.361812		10.0	
209	F	4.214000		95.8	
210	N	4.365438		11.3	
211	F	4.268197		96.9	
212	N	4.159960		11.1	
213	F	4.448350		96.8	
214	N	4.267813		10.4	
215	F	4.623927		95.1	
216	N	4.288375		10.6	
217	F	4.210656		97.3	
218	N	4.198933		11.3	
219	F	4.185697		94.7	
220	N	4.218804		9.8	
221	F	4.287436		96.6	
222	N	4.282263		10.4	
223	F	4.257099		96.6	
224	N	4.249367		10.5	
225	F	4.186189		96.6	
226	N	4.245930		9.4	
227	F	4.130264		95.2	
228	N	4.189874		11.0	
229	F	4.218616		97.0	
230	N	4.263524		10.4	
231	F	4.192721		96.2	
232	N	4.213890		10.7	
233	F	4.280140		96.8	
234	N	4.252980		10.1	
235	F	4.129634		96.0	
236	N	4.317564		9.7	
237	F	4.169259		96.0	
238	N	4.295118		10.3	
239	F	4.101325		95.8	
240	N	4.166852		10.5	
241	F	4.138708		97.7	
242	N	4.190517		9.9	
243	F	4.211745		96.3	
244	N	4.226419		11.0	
245	F	4.187282		95.9	
246	N	4.149142		10.6	
247	F	4.205683		96.1	
248	N	4.155827		10.0	
249	F	4.134662		96.1	
250	N	4.309523		11.0	
250	EVAL		2.518229		
251	F	4.092205		96.5	
252	N	4.212774		10.3	
253	F	4.172245		96.7	
254	N	4.160743		11.0	
255	F	4.034522		95.5	
256	N	4.128147		9.9	
257	F	4.090834		96.2	
258	N	4.105020		10.9	
259	F	4.105321		96.9	
260	N	4.007922		10.0	
261	F	4.102002		95.7	
262	N	4.192193		9.1	
263	F	4.054608		96.4	
264	N	4.176617		10.3	
265	F	4.089262		96.0	
266	N	4.135503		10.9	
267	F	4.026787		94.7	
268	N	4.062032		11.3	
269	F	4.133878		96.6	
270	N	4.128092		10.4	
271	F	3.986006		96.5	
272	N	4.206237		10.8	
273	F	4.138058		96.7	
274	N	4.042438		10.4	
275	F	4.133080		95.9	
276	N	4.110447		11.0	
277	F	4.196914		95.3	
278	N	4.160686		12.6	
279	F	4.130500		96.0	
280	N	4.042697		11.0	
281	F	4.049370		96.5	
282	N	4.112072		11.2	
283	F	4.059692		96.3	
284	N	3.996289		10.3	
285	F	4.091923		96.3	
286	N	4.172018		11.8	
287	F	4.123942		96.2	
288	N	4.150398		11.7	
289	F	4.108985		97.2	
290	N	4.165573		10.1	
291	F	4.094258		96.5	
292	N	4.142957		10.9	
293	F	4.126081		95.7	
294	N	3.986674		11.2	
295	F	4.066792		96.4	
296	N	4.091096		11.1	
297	F	4.076002		97.0	
298	N	4.114239		11.1	
299	F	4.040809		96.0	
300	N	3.998207		11.4	
300	EVAL		2.445910		
301	F	3.999316		96.3	
302	N	4.045832		11.0	
303	F	4.021794		94.6	
304	N	4.019523		11.0	
305	F	4.085533		95.9	
306	N	4.076311		11.9	
307	F	4.045574		95.7	
308	N	4.058104		11.2	
309	F	4.018111		98.3	
310	N	3.924718		10.9	
311	F	4.009049		97.2	
312	N	4.028768		8.4	
313	F	4.051664		96.6	
314	N	4.034996		9.8	
315	F	3.907508		96.3	
316	N	4.091759		10.2	
317	F	3.846289		95.8	
318	N	4.016760		10.5	
319	F	3.919493		96.5	
320	N	3.924048		9.9	
321	F	3.930693		96.4	
322	N	4.012243		10.7	
323	F	4.021451		97.2	
324	N	4.025249		11.2	
325	F	3.996819		96.3	
326	N	3.998668		10.8	
327	F	3.978261		96.2	
328	N	4.066716		11.2	
329	F	4.011343		95.2	
330	N	4.015127		11.8	
331	F	4.021077		95.5	
332	N	3.890936		11.5	
333	F	3.932673		96.3	
334	N	4.004109		10.4	
335	F	4.100721		96.9	
336	N	4.011345		10.6	
337	F	4.390755		96.6	
338	N	3.939245		9.0	
339	F	3.979693		96.0	
340	N	3.897230		10.7	
341	F	4.074180		96.0	
342	N	4.279164		11.4	
343	F	3.973853		96.5	
344	N	3.967595		10.3	
345	F	3.949415		96.3	
346	N	4.019020		11.2	
347	F	3.866642		96.5	
348	N	3.985381		11.0	
349	F	3.956612		96.2	
350	N	3.980915		10.1	
350	EVAL		2.378455		
351	F	3.965322		95.8	
352	N	4.113511		9.5	
353	F	3.886893		96.2	
354	N	3.921084		10.5	
355	F	3.967356		96.2	
356	N	3.988238		10.2	
357	F	3.875925		96.4	
358	N	3.948232		11.2	
359	F	3.917046		96.1	
360	N	3.984482		10.2	
361	F	3.897207		95.9	
362	N	4.091661		10.6	
363	F	3.963453		96.5	
364	N	3.876811		10.8	
365	F	3.881375		96.8	
366	N	3.822724		10.7	
367	F	4.074220		95.7	
368	N	4.080696		11.2	
369	F	3.860640		97.2	
370	N	3.881516		11.3	
371	F	3.861284		95.2	
372	N	4.482887		9.0	
373	F	4.209643		95.9	
374	N	3.908645		10.6	
375	F	3.937293		97.0	
376	N	3.918211		10.3	
377	F	3.869332		96.6	
378	N	3.960188		10.2	
379	F	3.944730		97.3	
380	N	3.946009		10.2	
381	F	3.896659		96.3	
382	N	3.927203		11.1	
383	F	3.908856		97.3	
384	N	3.983909		10.9	
385	F	3.870208		96.1	
386	N	3.900523		11.5	
387	F	3.870985		96.5	
388	N	3.903056		11.6	
389	F	3.883847		95.6	
390	N	3.927926		12.0	
391	F	4.063608		97.7	
392	N	3.901384		10.4	
393	F	3.823071		98.7	
394	N	3.880172		11.1	
395	F	3.814503		96.4	
396	N	3.873905		10.3	
397	F	4.051088		96.1	
398	N	3.989291		11.6	
399	F	3.878935		96.6	
400	N	3.916143		11.0	
400	EVAL		2.326719		
401	F	3.864769		97.3	
402	N	3.919656		11.3	
403	F	3.821165		95.9	
404	N	3.858593		10.8	
405	F	3.846519		98.7	
406	N	3.857295		10.5	
407	F	3.784413		96.8	
408	N	3.976525		11.6	
409	F	3.846268		95.7	
410	N	3.959063		10.5	
411	F	3.855310		96.9	
412	N	3.859775		11.3	
413	F	3.812973		97.4	
414	N	3.853663		11.3	
415	F	3.832453		97.7	
416	N	3.884139		11.6	
417	F	3.805143		97.5	
418	N	3.913221		9.5	
419	F	3.730145		97.2	
420	N	3.798645		11.0	
421	F	3.788229		95.5	
422	N	3.824078		10.2	
423	F	3.751737		97.7	
424	N	3.944350		10.8	
425	F	3.759164		97.4	
426	N	3.770261		9.9	
427	F	3.842600		95.7	
428	N	3.886804		10.6	
429	F	3.848440		96.3	
430	N	3.764915		10.3	
431	F	3.718647		97.3	
432	N	3.807020		11.1	
433	F	3.773312		96.8	
434	N	3.837810		10.2	
435	F	3.756872		95.7	
436	N	3.802195		11.4	
437	F	3.708005		96.0	
438	N	3.765584		11.4	
439	F	3.804017		96.5	
440	N	3.855534		11.8	
441	F	3.946929		96.3	
442	N	3.946272		11.8	
443	F	3.864538		97.9	
444	N	3.835141		11.4	
445	F	3.729508		96.1	
446	N	3.803849		11.2	
447	F	3.773843		96.5	
448	N	3.827601		11.3	
449	F	3.723723		95.9	
450	N	3.822325		10.9	
450	EVAL		2.271728		
451	F	3.735529		95.5	
452	N	3.877357		10.5	
453	F	3.722703		98.2	
454	N	3.750803		11.6	
455	F	3.754388		95.6	
456	N	3.834155		11.5	
457	F	3.716682		98.5	
458	N	3.791573		10.3	
459	F	3.773871		95.5	
460	N	3.799321		11.0	
461	F	3.765081		95.4	
462	N	3.953035		11.1	
463	F	3.767889		96.3	
464	N	3.736964		10.8	
465	F	3.689966		96.2	
466	N	3.813589		9.7	
467	F	3.544232		97.0	
468	N	3.740178		10.0	
469	F	3.841000		95.2	
470	N	3.850007		11.6	
471	F	3.773280		97.1	
472	N	3.848036		9.0	
473	F	3.796484		96.3	
474	N	3.788631		11.4	
475	F	3.800161		96.3	
476	N	3.798167		9.2	
477	F	3.679291		96.1	
478	N	3.789699		11.4	
479	F	3.732973		94.7	
480	N	3.744594		11.6	
481	F	3.737782		98.1	
482	N	3.866000		10.3	
483	F	3.688023		96.8	
484	N	3.736343		11.4	
485	F	3.717746		96.4	
486	N	3.723330		11.6	
487	F	3.733423		96.3	
488	N	3.666510		10.9	
489	F	3.648977		96.3	
490	N	3.755846		11.5	
491	F	3.905692		97.2	
492	N	3.651514		10.3	
493	F	3.759949		94.0	
494	N	3.731183		11.1	
495	F	3.755916		95.9	
496	N	4.161738		10.4	
497	F	3.661683		97.8	
498	N	3.576169		10.1	
499	F	3.726952		96.2	
500	N	3.676083		8.2	
500	EVAL		2.257450		
501	F	3.642107		96.5	
502	N	3.772165		9.6	
503	F	3.674201		96.2	
504	N	3.747591		9.5	
505	F	3.753095		95.2	
506	N	3.754956		9.3	
507	F	3.667044		96.4	
508	N	3.736056		9.1	
509	F	3.628031		97.5	
510	N	3.740356		9.8	
511	F	3.644221		97.6	
512	N	3.750110		8.3	
513	F	3.577692		96.3	
514	N	3.757020		9.4	
515	F	3.670921		97.0	
516	N	3.679438		10.1	
517	F	3.647793		96.8	
518	N	3.704533		9.3	
519	F	3.739693		97.7	
520	N	3.677788		8.0	
521	F	3.673018		95.1	
522	N	3.636441		10.9	
523	F	3.673280		95.7	
524	N	3.605643		9.1	
525	F	3.684557		95.6	
526	N	3.689963		8.7	
527	F	3.697834		95.2	
528	N	3.647753		8.6	
529	F	3.795278		97.5	
530	N	3.646775		8.9	
531	F	3.507916		96.2	
532	N	3.640774		12.7	
533	F	3.648311		96.3	
534	N	3.638781		11.6	
535	F	3.676275		95.4	
536	N	3.626872		10.4	
537	F	3.710603		97.6	
538	N	3.908445		11.5	
539	F	3.816852		97.0	
540	N	3.713028		9.9	
541	F	3.629059		96.4	
542	N	3.689856		12.1	
543	F	3.598261		95.7	
544	N	3.658516		11.8	
545	F	3.543294		96.8	
546	N	3.698008		10.9	
547	F	3.552885		96.3	
548	N	3.666446		11.9	
549	F	3.535378		96.3	
550	N	3.817740		11.1	
550	EVAL		2.206200		
551	F	3.696270		96.2	
552	N	3.614947		10.2	
553	F	3.542983		95.4	
554	N	3.660000		10.6	
555	F	3.588196		97.2	
556	N	3.634933		10.4	
557	F	3.586709		97.1	
558	N	3.623910		10.9	
559	F	3.579674		95.5	
560	N	3.698940		11.0	
561	F	3.677401		95.7	
562	N	3.658123		10.6	
563	F	3.515450		96.4	
564	N	3.722633		11.5	
565	F	3.499098		96.3	
566	N	3.630047		10.2	
567	F	3.629012		96.5	
568	N	3.652139		11.1	
569	F	3.632555		93.9	
570	N	3.687856		11.3	
571	F	3.595985		96.7	
572	N	3.536334		11.9	
573	F	3.647964		97.7	
574	N	3.735295		10.9	
575	F	3.661056		98.3	
576	N	3.610939		11.3	
577	F	3.593248		97.1	
578	N	3.540468		9.9	
579	F	3.537897		96.6	
580	N	3.622667		10.4	
581	F	3.630677		97.1	
582	N	3.552465		11.3	
583	F	3.581345		95.6	
584	N	3.716163		9.5	
585	F	3.498542		95.3	
586	N	3.595420		11.1	
587	F	3.520806		96.3	
588	N	3.609116		10.3	
589	F	3.584744		95.6	
590	N	3.652856		10.8	
591	F	3.639594		96.0	
592	N	3.672720		10.4	
593	F	3.579826		96.7	
594	N	3.664095		10.7	
595	F	3.591463		95.6	
596	N	3.580194		10.5	
597	F	3.579093		96.3	
598	N	3.611039		9.7	
599	F	3.725267		96.1	
600	N	3.604798		9.4	
600	EVAL		2.181258		
601	F	3.605792		96.7	
602	N	3.722039		10.5	
603	F	3.495988		95.5	
604	N	3.653581		11.2	
605	F	3.502891		97.2	
606	N	3.699914		11.3	
607	F	3.592984		95.4	
