step	type	train_loss	val_bpb	step_ms	gravity
1	F	6.989217		1065.3	
2	N	6.982521		10.5	
3	F	6.954630		97.1	
4	N	6.962821		10.5	
5	F	6.845904		96.3	
6	N	6.893289		10.3	
7	F	6.666397		96.4	
8	N	6.758638		9.1	
9	F	6.505312		97.9	
10	N	6.536436		10.3	
11	F	6.366131		95.2	
12	N	6.309631		10.2	
13	F	6.241412		95.7	
14	N	6.147555		10.5	
15	F	6.115840		97.4	
16	N	6.073597		9.8	
17	F	6.051777		96.4	
18	N	5.983073		9.8	
19	F	6.000249		96.5	
20	N	6.018310		11.4	
21	F	5.981677		96.8	
22	N	6.062892		11.1	
23	F	6.082981		95.8	
24	N	6.064803		9.5	
25	F	6.023552		96.0	
26	N	6.086385		10.2	
27	F	6.056269		97.5	
28	N	5.971974		10.4	
29	F	6.023830		96.5	
30	N	6.023646		10.4	
31	F	6.029676		96.3	
32	N	5.988005		10.2	
33	F	6.001669		95.7	
34	N	5.967474		10.9	
35	F	6.007778		97.5	
36	N	5.947916		9.6	
37	F	5.967395		97.4	
38	N	5.959171		10.7	
39	F	5.964238		97.6	
40	N	5.915665		10.3	
41	F	6.000525		96.5	
42	N	5.808570		9.7	
43	F	5.960290		97.0	
44	N	5.882928		10.8	
45	F	5.875294		97.7	
46	N	5.709937		9.5	
47	F	5.791312		96.4	
48	N	5.666789		10.0	
49	F	5.774942		97.0	
50	N	5.698821		9.9	
50	EVAL		3.470533		
51	F	5.697961		95.9	
52	N	5.623381		9.9	
53	F	5.661416		96.7	
54	N	5.556502		9.2	
55	F	5.562495		98.2	
56	N	5.488315		10.5	
57	F	5.477461		97.0	
58	N	5.429779		10.0	
59	F	5.402926		96.5	
60	N	5.439131		10.4	
61	F	5.400572		97.8	
62	N	5.316649		9.8	
63	F	5.258049		96.4	
64	N	5.152147		10.2	
65	F	5.227864		97.5	
66	N	5.220046		10.1	
67	F	5.211614		97.2	
68	N	5.256946		10.8	
69	F	5.151531		97.8	
70	N	5.188037		10.7	
71	F	5.169446		97.8	
72	N	5.136094		10.1	
73	F	5.131970		97.0	
74	N	5.115353		7.8	
75	F	5.112340		98.7	
76	N	5.062864		10.8	
77	F	5.056877		97.1	
78	N	5.028686		9.8	
79	F	4.971929		96.3	
80	N	4.981805		11.1	
81	F	5.010510		96.5	
82	N	5.330651		10.8	
83	F	4.999923		98.5	
84	N	5.000297		10.1	
85	F	4.988706		96.8	
86	N	4.980751		9.0	
87	F	4.902111		97.0	
88	N	4.968751		11.4	
89	F	4.745582		97.0	
90	N	4.938495		8.9	
91	F	4.881009		96.2	
92	N	4.854288		10.2	
93	F	4.884007		97.2	
94	N	4.904313		10.1	
95	F	4.827754		96.8	
96	N	4.849181		11.0	
97	F	4.815215		97.9	
98	N	4.809187		10.5	
99	F	4.710735		96.2	
100	N	4.864106		10.6	
100	EVAL		2.905867		
101	F	4.712784		96.3	
102	N	4.861723		9.2	
103	F	4.759202		95.6	
104	N	4.785947		8.2	
105	F	4.799016		98.0	
106	N	4.774196		9.8	
107	F	4.737809		97.0	
108	N	4.672745		10.8	
109	F	4.756697		97.1	
110	N	4.694593		10.1	
111	F	4.748540		96.4	
112	N	4.736403		10.4	
113	F	4.728719		97.8	
114	N	4.688704		10.5	
115	F	4.734653		97.3	
116	N	4.667171		10.9	
117	F	4.632504		96.3	
118	N	4.666831		10.5	
119	F	4.683076		97.2	
120	N	4.715925		11.1	
121	F	4.639938		96.4	
122	N	4.593688		11.2	
123	F	4.649321		97.6	
124	N	4.642635		10.5	
125	F	4.628447		97.4	
126	N	4.645474		10.1	
127	F	4.672074		96.4	
128	N	4.631493		10.4	
129	F	4.604026		98.4	
130	N	4.594605		8.6	
131	F	4.581072		98.2	
132	N	4.610173		9.9	
133	F	4.567394		97.0	
134	N	4.588188		9.8	
135	F	4.570697		96.3	
136	N	4.555059		10.7	
137	F	4.626558		98.0	
138	N	4.605453		10.4	
139	F	4.577373		96.1	
140	N	4.537820		10.9	
141	F	4.531018		98.6	
142	N	4.589782		9.3	
143	F	4.536253		97.0	
144	N	4.578411		10.6	
145	F	4.543974		98.0	
146	N	4.558528		9.4	
147	F	4.545660		96.3	
148	N	4.546319		10.5	
149	F	4.468944		96.7	
150	N	4.610794		10.2	
150	EVAL		2.742906		
151	F	4.470410		96.6	
152	N	4.490319		9.9	
153	F	4.474500		96.3	
154	N	4.548313		9.9	
155	F	4.546587		97.4	
156	N	4.534264		10.3	
157	F	4.502451		97.1	
158	N	4.626392		9.5	
159	F	4.560610		97.1	
160	N	4.515771		10.4	
161	F	4.467978		99.5	
162	N	4.539004		9.7	
163	F	4.490700		96.5	
164	N	4.385341		10.2	
165	F	4.393447		97.1	
166	N	4.419688		9.7	
167	F	4.443784		96.3	
168	N	4.497960		9.9	
169	F	4.440704		97.3	
170	N	4.423937		9.6	
171	F	4.485099		97.6	
172	N	4.435225		10.7	
173	F	4.428961		97.3	
174	N	4.482261		9.2	
175	F	4.424859		96.5	
176	N	4.466447		10.3	
177	F	4.451193		97.2	
178	N	4.424131		9.6	
179	F	4.367689		96.9	
180	N	4.390495		10.0	
181	F	4.463899		95.4	
182	N	4.504329		10.1	
183	F	4.403749		98.0	
184	N	4.431338		10.8	
185	F	4.525257		96.3	
186	N	4.479036		10.1	
187	F	4.447413		97.8	
188	N	4.539254		10.6	
189	F	4.410455		98.5	
190	N	4.451147		9.6	
191	F	4.494703		97.2	
192	N	4.537928		10.5	
193	F	4.391856		96.7	
194	N	4.460991		10.4	
195	F	4.385930		96.5	
