step	type	train_loss	val_bpb	step_ms	gravity
1	F	6.989171		2277.9	0.1270,0.1270,0.6914
2	N	6.982526		10.1	0.1270,0.1270,0.6914
3	F	6.958127		153.3	0.1270,0.1270,0.6914
4	N	6.962544		10.1	0.1270,0.1270,0.6914
5	F	6.860750		152.3	0.1270,0.1270,0.6914
6	N	6.892337		10.2	0.1270,0.1270,0.6914
7	F	6.696718		152.5	0.1270,0.1270,0.6914
8	N	6.755564		10.5	0.1270,0.1270,0.6914
9	F	6.529995		148.8	0.1270,0.1270,0.6914
10	N	6.530786		9.5	0.1270,0.1270,0.6914
11	F	6.375202		151.6	0.1270,0.1270,0.6914
12	N	6.306502		10.5	0.1270,0.1270,0.6914
13	F	6.243982		152.3	0.1270,0.1270,0.6953
14	N	6.150333		10.0	0.1270,0.1270,0.6953
15	F	6.116127		152.7	0.1270,0.1270,0.6953
16	N	6.076068		9.7	0.1270,0.1270,0.6953
17	F	6.050685		151.7	0.1270,0.1270,0.6953
18	N	5.984392		8.3	0.1270,0.1270,0.6953
19	F	5.999397		152.4	0.1270,0.1270,0.6953
20	N	6.018831		10.0	0.1270,0.1270,0.6953
21	F	5.979748		149.0	0.1270,0.1270,0.6953
22	N	6.064127		10.2	0.1270,0.1270,0.6953
23	F	6.081189		151.9	0.1270,0.1270,0.6953
24	N	6.066339		9.3	0.1270,0.1270,0.6953
25	F	6.022252		149.0	0.1270,0.1270,0.6953
26	N	6.088921		9.4	0.1270,0.1270,0.6953
27	F	6.055399		152.2	0.1270,0.1270,0.6953
28	N	5.974620		9.6	0.1270,0.1270,0.6953
29	F	6.022470		150.7	0.1270,0.1270,0.6914
30	N	6.028040		10.6	0.1270,0.1270,0.6914
31	F	6.025927		150.7	0.1270,0.1270,0.6914
32	N	5.995709		9.3	0.1270,0.1270,0.6914
33	F	5.999198		151.6	0.1270,0.1270,0.6914
34	N	5.981635		10.2	0.1270,0.1270,0.6914
35	F	6.006623		152.0	0.1270,0.1270,0.6914
36	N	5.966933		10.4	0.1270,0.1270,0.6914
37	F	5.966744		153.2	0.1270,0.1270,0.6914
38	N	5.988615		9.5	0.1270,0.1270,0.6914
39	F	5.964420		150.7	0.1270,0.1270,0.6914
40	N	5.969739		9.0	0.1270,0.1270,0.6914
41	F	6.022972		152.9	0.1270,0.1270,0.6914
42	N	5.907109		10.8	0.1270,0.1270,0.6914
43	F	5.955558		149.1	0.1270,0.1270,0.6914
44	N	5.810895		9.8	0.1270,0.1270,0.6914
45	F	5.861671		152.3	0.1270,0.1270,0.6914
46	N	5.733802		10.3	0.1270,0.1270,0.6914
47	F	6.021519		152.0	0.1270,0.1270,0.6914
48	N	5.683223		11.3	0.1270,0.1270,0.6914
49	F	5.748189		152.5	0.1270,0.1270,0.6914
50	N	5.716794		9.3	0.1270,0.1270,0.6914
50	EVAL		3.380547		0.1270,0.1270,0.6914
