==========================================================================
  Cheap Multi-GPU Small SKC Run
  RUN_ID : small_skc_2gpu_s42_20260408_094021
  MODEL  : SKC L=8 D=256 H=8/4
  SKC    : block=16 caps=8 cap_dim=32
  ENGRAM : buckets=16384 dim=112 orders=3
  TERNARY: train_align=1@0.85 thr_search=1 scale_search=1
  CURR   : 64 -> 128 -> 256 @ 35% / 65%
  BATCH  : 16384 tok/step  seq=2048
  VRAM   : min_gpu_mem=24GB  val_batch=262144
  BUDGET : 45s
  SEED   : 42
  GPUS   : 2
  EXPORT : turbo=1 hess=0 sliding=0 ngram=0
  SMOKE  : 1
==========================================================================
logs/cuda/small_skc_2gpu_s42_20260408_094021.txt
DDP enabled: 2 GPUs find_unused=1 static_graph=0
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 scalar_decay=40 engram_scalar=12
params:7313928 L:8 d:256 h:8 kv:4 ws:2 ga:1 s:42
ema:enabled decay=0.997 start_fraction=0.4
step:1/500000 loss:7.1398 t:781ms avg:780.8ms
step:2/500000 loss:6.9584 t:972ms avg:486.1ms
step:3/500000 loss:6.5352 t:1169ms avg:389.8ms
step:4/500000 loss:6.5176 t:1352ms avg:338.0ms
step:5/500000 loss:8.1790 t:1531ms avg:306.2ms
step:6/500000 loss:7.0274 t:1708ms avg:284.7ms
step:7/500000 loss:6.9076 t:1888ms avg:269.7ms
step:8/500000 loss:15.9426 t:2061ms avg:257.6ms
step:9/500000 loss:7.3985 t:2240ms avg:248.9ms
step:10/500000 loss:9.3244 t:2424ms avg:242.4ms
step:11/500000 loss:8.0931 t:2680ms avg:243.6ms
step:12/500000 loss:8.1855 t:2864ms avg:238.6ms
step:13/500000 loss:8.7042 t:3040ms avg:233.8ms
step:14/500000 loss:7.8129 t:3227ms avg:230.5ms
step:15/500000 loss:8.4177 t:3417ms avg:227.8ms
step:16/500000 loss:8.2842 t:3594ms avg:224.6ms
step:17/500000 loss:7.3726 t:3782ms avg:222.4ms
step:18/500000 loss:14.9837 t:3969ms avg:220.5ms
step:19/500000 loss:9.4964 t:4159ms avg:218.9ms
step:20/500000 loss:9.9485 t:4350ms avg:217.5ms
step:21/500000 loss:10.2195 t:4535ms avg:216.0ms
step:22/500000 loss:8.2979 t:4730ms avg:215.0ms
step:23/500000 loss:9.4289 t:4935ms avg:214.5ms
step:24/500000 loss:8.5917 t:5141ms avg:214.2ms
step:25/500000 loss:10.9867 t:5333ms avg:213.3ms
step:26/500000 loss:8.1113 t:5525ms avg:212.5ms
step:27/500000 loss:9.1323 t:5735ms avg:212.4ms
step:28/500000 loss:8.2603 t:5934ms avg:211.9ms
step:29/500000 loss:8.4537 t:6131ms avg:211.4ms
step:30/500000 loss:10.0839 t:6329ms avg:211.0ms
step:31/500000 loss:8.5509 t:6535ms avg:210.8ms
step:32/500000 loss:8.1318 t:6742ms avg:210.7ms
step:33/500000 loss:9.7496 t:6940ms avg:210.3ms
step:34/500000 loss:8.3058 t:7135ms avg:209.8ms
step:35/500000 loss:8.2676 t:7331ms avg:209.5ms
step:36/500000 loss:7.9985 t:7551ms avg:209.8ms
step:37/500000 loss:7.6450 t:7751ms avg:209.5ms
step:38/500000 loss:9.4012 t:7967ms avg:209.7ms
step:39/500000 loss:7.7767 t:8210ms avg:210.5ms
step:40/500000 loss:8.6737 t:8438ms avg:210.9ms
step:41/500000 loss:7.9117 t:8666ms avg:211.4ms
step:42/500000 loss:7.6030 t:8886ms avg:211.6ms
step:43/500000 loss:7.5568 t:9114ms avg:212.0ms
step:44/500000 loss:7.5862 t:9332ms avg:212.1ms
step:45/500000 loss:7.1953 t:9551ms avg:212.2ms
step:46/500000 loss:13.1731 t:9782ms avg:212.7ms
step:47/500000 loss:10.7320 t:10009ms avg:212.9ms
step:48/500000 loss:8.5517 t:10225ms avg:213.0ms
step:49/500000 loss:7.6004 t:10443ms avg:213.1ms
step:50/500000 loss:7.1854 t:10674ms avg:213.5ms
step:51/500000 loss:7.7162 t:10915ms avg:214.0ms
step:52/500000 loss:6.8769 t:11149ms avg:214.4ms
step:53/500000 loss:7.2354 t:11366ms avg:214.5ms
step:54/500000 loss:6.9727 t:11633ms avg:215.4ms
step:55/500000 loss:6.9202 t:11902ms avg:216.4ms
step:56/500000 loss:6.7409 t:12152ms avg:217.0ms
step:57/500000 loss:7.2172 t:12398ms avg:217.5ms
step:58/500000 loss:6.6798 t:12636ms avg:217.9ms
step:59/500000 loss:6.5144 t:12871ms avg:218.2ms
step:60/500000 loss:6.3857 t:13121ms avg:218.7ms
step:61/500000 loss:6.4091 t:13358ms avg:219.0ms
step:62/500000 loss:6.2328 t:13596ms avg:219.3ms
step:63/500000 loss:6.2788 t:13827ms avg:219.5ms
step:64/500000 loss:5.9371 t:14060ms avg:219.7ms
step:65/500000 loss:6.2571 t:14296ms avg:219.9ms
step:66/500000 loss:5.9095 t:14531ms avg:220.2ms
step:67/500000 loss:5.9369 t:14765ms avg:220.4ms
step:68/500000 loss:5.8744 t:15011ms avg:220.8ms
step:69/500000 loss:5.9715 t:15242ms avg:220.9ms
step:70/500000 loss:5.8181 t:15473ms avg:221.0ms
step:71/500000 loss:5.7855 t:15708ms avg:221.2ms
step:72/500000 loss:5.7563 t:15944ms avg:221.4ms
step:73/500000 loss:5.7357 t:16253ms avg:222.7ms
step:74/500000 loss:5.5249 t:16570ms avg:223.9ms
step:75/500000 loss:5.8028 t:16886ms avg:225.1ms
step:76/500000 loss:5.5783 t:17189ms avg:226.2ms
step:77/500000 loss:5.5352 t:17496ms avg:227.2ms
step:78/500000 loss:5.5405 t:17800ms avg:228.2ms
step:79/500000 loss:5.6758 t:18103ms avg:229.2ms
step:80/500000 loss:5.4159 t:18419ms avg:230.2ms
step:81/500000 loss:5.4267 t:18724ms avg:231.2ms
step:82/500000 loss:5.4436 t:19029ms avg:232.1ms
step:83/500000 loss:5.4213 t:19333ms avg:232.9ms
step:84/500000 loss:5.3686 t:19638ms avg:233.8ms
