Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
DOWNLOAD_DONE
logs/036c6dde-970f-403c-8ee2-9f1e4f73e306.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:80
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:25517138
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:786432 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:42
bigram_vocab_size:10240 bigram_dim:96
trigram_vocab_size:10240 trigram_dim:32
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9323 val_bpb:4.1057 train_time:0ms step_avg:0.01ms
step:1/20000 train_loss:6.9334 train_time:732ms step_avg:732.10ms
step:2/20000 train_loss:8.1811 train_time:1435ms step_avg:717.58ms
step:3/20000 train_loss:7.9988 train_time:2165ms step_avg:721.74ms
step:4/20000 train_loss:7.5392 train_time:2871ms step_avg:717.68ms
step:5/20000 train_loss:7.0404 train_time:3595ms step_avg:718.91ms
step:6/20000 train_loss:6.6786 train_time:4291ms step_avg:715.14ms
step:7/20000 train_loss:6.3595 train_time:4985ms step_avg:712.08ms
step:8/20000 train_loss:6.1249 train_time:5687ms step_avg:710.83ms
step:9/20000 train_loss:5.9560 train_time:6399ms step_avg:710.97ms
step:10/20000 train_loss:5.8299 train_time:7101ms step_avg:710.06ms
swa:start step:50
step:100/20000 train_loss:3.4031 train_time:69380ms step_avg:693.80ms
step:200/20000 train_loss:2.8243 train_time:139802ms step_avg:699.01ms
step:300/20000 train_loss:2.6094 train_time:210395ms step_avg:701.32ms
step:400/20000 train_loss:2.5446 train_time:280541ms step_avg:701.35ms
step:500/20000 train_loss:2.4088 train_time:349993ms step_avg:699.99ms
step:500/20000 val_loss:2.4351 val_bpb:1.4422 train_time:350202ms step_avg:700.40ms
step:600/20000 train_loss:2.3669 train_time:420106ms step_avg:700.18ms
step:700/20000 train_loss:2.4048 train_time:489986ms step_avg:699.98ms
step:800/20000 train_loss:2.3538 train_time:560307ms step_avg:700.38ms
step:857/20000 val_loss:2.3221 val_bpb:1.3753 train_time:600104ms step_avg:700.24ms
stopping_early: wallclock_cap train_time:600104ms step:857/20000
peak memory allocated: 19142 MiB reserved: 19414 MiB
swa:applying averaged 17 checkpoints
Serialized model: 98438449 bytes
Code size: 55997 bytes
Total submission size: 98494446 bytes
Serialized model int6+zstd: 15365259 bytes
Total submission size int8+zlib: 15421256 bytes
final_eval_mode:sliding_window stride:64 batch_seqs:32
  sliding_eval [  0.0%] 32/969088 windows running_bpb=1.556278
  sliding_eval [  0.2%] 1632/969088 windows running_bpb=1.535772
  sliding_eval [  0.3%] 3232/969088 windows running_bpb=1.513405
  sliding_eval [  0.5%] 4832/969088 windows running_bpb=1.515045
  sliding_eval [  0.7%] 6432/969088 windows running_bpb=1.529835
  sliding_eval [  0.8%] 8032/969088 windows running_bpb=1.531609
  sliding_eval [  1.0%] 9632/969088 windows running_bpb=1.535546
  sliding_eval [  1.2%] 11232/969088 windows running_bpb=1.529029
  sliding_eval [  1.3%] 12832/969088 windows running_bpb=1.526715
  sliding_eval [  1.5%] 14432/969088 windows running_bpb=1.529088
  sliding_eval [  1.7%] 16032/969088 windows running_bpb=1.537943
  sliding_eval [  1.8%] 17632/969088 windows running_bpb=1.535225
  sliding_eval [  2.0%] 19232/969088 windows running_bpb=1.536161
  sliding_eval [  2.1%] 20832/969088 windows running_bpb=1.535712
  sliding_eval [  2.3%] 22432/969088 windows running_bpb=1.535126
  sliding_eval [  2.5%] 24032/969088 windows running_bpb=1.536930
  sliding_eval [  2.6%] 25632/969088 windows running_bpb=1.538361
  sliding_eval [  2.8%] 27232/969088 windows running_bpb=1.538885
  sliding_eval [  3.0%] 28832/969088 windows running_bpb=1.544032
  sliding_eval [  3.1%] 30432/969088 windows running_bpb=1.541511
  sliding_eval [  3.3%] 32032/969088 windows running_bpb=1.543845
  sliding_eval [  3.5%] 33632/969088 windows running_bpb=1.542506
  sliding_eval [  3.6%] 35232/969088 windows running_bpb=1.542041
  sliding_eval [  3.8%] 36832/969088 windows running_bpb=1.541374
  sliding_eval [  4.0%] 38432/969088 windows running_bpb=1.541863
  sliding_eval [  4.1%] 40032/969088 windows running_bpb=1.540820
  sliding_eval [  4.3%] 41632/969088 windows running_bpb=1.540374
  sliding_eval [  4.5%] 43232/969088 windows running_bpb=1.541094
  sliding_eval [  4.6%] 44832/969088 windows running_bpb=1.541189
  sliding_eval [  4.8%] 46432/969088 windows running_bpb=1.540687
  sliding_eval [  5.0%] 48032/969088 windows running_bpb=1.539791
  sliding_eval [  5.1%] 49632/969088 windows running_bpb=1.541133
  sliding_eval [  5.3%] 51232/969088 windows running_bpb=1.542443
  sliding_eval [  5.5%] 52832/969088 windows running_bpb=1.542985
  sliding_eval [  5.6%] 54432/969088 windows running_bpb=1.542887
  sliding_eval [  5.8%] 56032/969088 windows running_bpb=1.543754
  sliding_eval [  5.9%] 57632/969088 windows running_bpb=1.543622
  sliding_eval [  6.1%] 59232/969088 windows running_bpb=1.540234
  sliding_eval [  6.3%] 60832/969088 windows running_bpb=1.540192
  sliding_eval [  6.4%] 62432/969088 windows running_bpb=1.540294
  sliding_eval [  6.6%] 64032/969088 windows running_bpb=1.540705
  sliding_eval [  6.8%] 65632/969088 windows running_bpb=1.540394
  sliding_eval [  6.9%] 67232/969088 windows running_bpb=1.539106
  sliding_eval [  7.1%] 68832/969088 windows running_bpb=1.538811
