0.32	NVIDIA RTX A5000	Low	24	RTX A5000
0.44	NVIDIA GeForce RTX 3090	High	24	RTX 3090
0.54	NVIDIA GeForce RTX 3090 Ti	Low	24	RTX 3090 Ti
0.66	NVIDIA RTX A6000	Low	48	RTX A6000
0.68	NVIDIA GeForce RTX 4090	Medium	24	RTX 4090
0.98	NVIDIA RTX 5000 Ada Generation	Low	32	RTX 5000 Ada
1.38	NVIDIA L40	Low	48	L40
1.48	NVIDIA RTX 6000 Ada Generation	Low	48	RTX 6000 Ada
1.58	NVIDIA L40S	Low	48	L40S
2	NVIDIA A100-SXM4-40GB	Low	40	A100 SXM 40GB
2.38	NVIDIA A100 80GB PCIe	Low	80	A100 PCIe
2.78	NVIDIA A100-SXM4-80GB	Low	80	A100 SXM
