====== START O_inside_out @ Fri Apr  3 16:09:01 CDT 2026 ======
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:621058 arch:skc layers:4 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:True engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=True(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:271ms step:270ms
step:2/100000 loss:6.7180 t:302ms step:31ms
step:3/100000 loss:6.2631 t:332ms step:30ms
step:4/100000 loss:6.1558 t:362ms step:29ms
step:5/100000 loss:6.1865 t:393ms step:31ms
step:10/100000 loss:6.0185 t:544ms step:30ms
step:20/100000 loss:5.8884 t:848ms step:31ms
step:30/100000 loss:5.6273 t:1150ms step:30ms
step:40/100000 loss:5.5876 t:1453ms step:30ms
step:50/100000 loss:5.3340 t:1755ms step:30ms
step:60/100000 loss:5.2443 t:2058ms step:30ms
step:70/100000 loss:5.1196 t:2362ms step:30ms
step:80/100000 loss:5.0229 t:2663ms step:30ms
step:90/100000 loss:5.0202 t:2967ms step:30ms
step:100/100000 loss:5.1009 t:3268ms step:30ms
step:110/100000 loss:5.0755 t:3571ms step:30ms
step:120/100000 loss:4.9202 t:3878ms step:31ms
step:130/100000 loss:4.9938 t:4181ms step:30ms
step:140/100000 loss:4.8489 t:4483ms step:30ms
step:150/100000 loss:5.0070 t:4786ms step:30ms
step:160/100000 loss:4.8492 t:5111ms step:30ms
step:170/100000 loss:4.8614 t:5414ms step:30ms
step:180/100000 loss:4.8900 t:5719ms step:30ms
step:190/100000 loss:4.8575 t:6021ms step:30ms
step:200/100000 loss:4.8354 t:6324ms step:30ms
step:210/100000 loss:4.8027 t:6628ms step:31ms
step:220/100000 loss:4.8998 t:6928ms step:29ms
step:230/100000 loss:4.8961 t:7224ms step:30ms
step:240/100000 loss:4.7078 t:7527ms step:30ms
step:250/100000 loss:4.9116 t:7832ms step:30ms
step:260/100000 loss:4.8348 t:8135ms step:30ms
step:270/100000 loss:4.7960 t:8437ms step:30ms
step:280/100000 loss:4.7584 t:8740ms step:31ms
step:290/100000 loss:4.8454 t:9043ms step:30ms
step:300/100000 loss:4.8740 t:9345ms step:30ms
step:310/100000 loss:4.7274 t:9651ms step:31ms
step:320/100000 loss:4.8129 t:9977ms step:30ms
step:330/100000 loss:4.7876 t:10278ms step:30ms
step:340/100000 loss:4.7842 t:10583ms step:30ms
step:350/100000 loss:4.9692 t:10884ms step:30ms
step:360/100000 loss:4.9821 t:11186ms step:30ms
