START: DC_capsule_bank  Sat Apr  4 00:25:07 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:1025430 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:True engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
koopman:rank=2 diag_init=0.9 consist_w=0.005 halt:1@0.05 carry:1@0.8
optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=True
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:227ms step:227ms
step:2/100000 loss:6.6988 t:413ms step:186ms
step:3/100000 loss:6.3082 t:601ms step:188ms
step:4/100000 loss:6.1751 t:790ms step:188ms
step:5/100000 loss:6.1570 t:979ms step:188ms
step:10/100000 loss:5.9310 t:1918ms step:187ms
step:20/100000 loss:5.5672 t:3799ms step:188ms
step:30/100000 loss:5.1161 t:5682ms step:189ms
step:40/100000 loss:4.9692 t:7581ms step:187ms
step:50/100000 loss:4.7697 t:9461ms step:187ms
step:60/100000 loss:4.7010 t:11343ms step:189ms
step:70/100000 loss:4.4916 t:13234ms step:189ms
step:80/100000 loss:4.3952 t:15129ms step:188ms
step:90/100000 loss:4.3217 t:17008ms step:188ms
step:100/100000 loss:4.3256 t:18888ms step:186ms
step:110/100000 loss:4.1775 t:20783ms step:189ms
step:120/100000 loss:3.9967 t:22693ms step:187ms
step:130/100000 loss:4.1338 t:24572ms step:189ms
step:140/100000 loss:3.8528 t:26453ms step:187ms
step:150/100000 loss:4.0423 t:28357ms step:206ms
step:160/100000 loss:3.8812 t:30233ms step:188ms
step:170/100000 loss:3.8695 t:32115ms step:187ms
step:180/100000 loss:3.8523 t:33999ms step:187ms
step:190/100000 loss:3.6751 t:35907ms step:189ms
step:200/100000 loss:3.7125 t:37785ms step:187ms
step:210/100000 loss:3.7537 t:39691ms step:188ms
step:220/100000 loss:3.8002 t:41567ms step:188ms
step:230/100000 loss:3.8341 t:43465ms step:188ms
step:240/100000 loss:3.5146 t:45347ms step:189ms
step:250/100000 loss:3.6799 t:47224ms step:188ms
step:260/100000 loss:3.6394 t:49154ms step:193ms
step:270/100000 loss:3.5467 t:51059ms step:188ms
step:280/100000 loss:3.4832 t:52942ms step:189ms
step:290/100000 loss:3.5946 t:54823ms step:189ms
step:300/100000 loss:3.6536 t:56760ms step:192ms
step:310/100000 loss:3.4269 t:58675ms step:190ms
step:320/100000 loss:3.4537 t:60572ms step:192ms
step:330/100000 loss:3.2884 t:62472ms step:184ms
step:340/100000 loss:3.3639 t:64353ms step:187ms
step:350/100000 loss:3.5399 t:66233ms step:188ms
step:360/100000 loss:3.5578 t:68116ms step:189ms
