START: CB_caps16  Fri Apr  3 20:21:24 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:881891 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:224ms step:224ms
step:2/100000 loss:6.6796 t:426ms step:201ms
step:3/100000 loss:6.2052 t:611ms step:185ms
step:4/100000 loss:6.0701 t:797ms step:185ms
step:5/100000 loss:6.1455 t:986ms step:189ms
step:10/100000 loss:5.8862 t:1928ms step:189ms
step:20/100000 loss:5.5851 t:3817ms step:189ms
step:30/100000 loss:5.1185 t:5701ms step:187ms
step:40/100000 loss:5.0091 t:7599ms step:188ms
step:50/100000 loss:4.8312 t:9478ms step:187ms
step:60/100000 loss:4.8190 t:11360ms step:188ms
step:70/100000 loss:4.6278 t:13247ms step:188ms
step:80/100000 loss:4.5825 t:15157ms step:189ms
step:90/100000 loss:4.5460 t:17044ms step:187ms
step:100/100000 loss:4.6348 t:18933ms step:189ms
step:110/100000 loss:4.4615 t:20824ms step:191ms
step:120/100000 loss:4.3186 t:22731ms step:188ms
step:130/100000 loss:4.4082 t:24620ms step:188ms
step:140/100000 loss:4.2717 t:26510ms step:188ms
step:150/100000 loss:4.4809 t:28400ms step:189ms
step:160/100000 loss:4.2568 t:30300ms step:189ms
step:170/100000 loss:4.2937 t:32187ms step:188ms
step:180/100000 loss:4.2789 t:34076ms step:188ms
step:190/100000 loss:4.1829 t:35976ms step:188ms
step:200/100000 loss:4.1571 t:37882ms step:188ms
step:210/100000 loss:4.1001 t:39757ms step:187ms
step:220/100000 loss:4.2279 t:41647ms step:190ms
step:230/100000 loss:4.3018 t:43534ms step:188ms
step:240/100000 loss:4.0142 t:45421ms step:188ms
step:250/100000 loss:4.1877 t:47321ms step:189ms
step:260/100000 loss:4.2379 t:49210ms step:188ms
step:270/100000 loss:4.1074 t:51101ms step:188ms
step:280/100000 loss:4.0290 t:52986ms step:188ms
step:290/100000 loss:4.2700 t:54887ms step:187ms
step:300/100000 loss:4.2325 t:56778ms step:189ms
step:310/100000 loss:4.0598 t:58667ms step:189ms
step:320/100000 loss:4.1510 t:60571ms step:195ms
step:330/100000 loss:3.9718 t:62518ms step:192ms
step:340/100000 loss:4.0994 t:64406ms step:189ms
step:350/100000 loss:4.2126 t:66294ms step:189ms
step:360/100000 loss:4.3015 t:68185ms step:188ms
step:370/100000 loss:4.1139 t:70066ms step:190ms
step:380/100000 loss:4.0026 t:71963ms step:189ms
