START: BT_stoch_depth  Fri Apr  3 19:40:31 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.2 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=True weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:224ms step:224ms
step:2/100000 loss:6.6707 t:414ms step:189ms
step:3/100000 loss:6.1904 t:599ms step:185ms
step:4/100000 loss:6.0667 t:786ms step:187ms
step:5/100000 loss:6.1464 t:975ms step:188ms
step:10/100000 loss:5.8657 t:1908ms step:187ms
step:20/100000 loss:5.5514 t:3763ms step:187ms
step:30/100000 loss:5.0506 t:5639ms step:186ms
step:40/100000 loss:5.0151 t:7503ms step:185ms
step:50/100000 loss:4.8366 t:9377ms step:185ms
step:60/100000 loss:4.7979 t:11253ms step:185ms
step:70/100000 loss:4.6119 t:13110ms step:186ms
step:80/100000 loss:4.5537 t:14976ms step:188ms
step:90/100000 loss:4.5348 t:16846ms step:187ms
step:100/100000 loss:4.6238 t:18728ms step:184ms
step:110/100000 loss:4.4404 t:20596ms step:188ms
step:120/100000 loss:4.3430 t:22455ms step:187ms
step:130/100000 loss:4.3849 t:24322ms step:187ms
step:140/100000 loss:4.2510 t:26203ms step:183ms
step:150/100000 loss:4.4476 t:28064ms step:187ms
step:160/100000 loss:4.3231 t:29940ms step:188ms
step:170/100000 loss:4.2923 t:31807ms step:186ms
step:180/100000 loss:4.3235 t:33681ms step:183ms
step:190/100000 loss:4.2305 t:35545ms step:186ms
step:200/100000 loss:4.1607 t:37413ms step:185ms
step:210/100000 loss:4.1315 t:39280ms step:185ms
step:220/100000 loss:4.2328 t:41160ms step:184ms
step:230/100000 loss:4.2985 t:43024ms step:187ms
step:240/100000 loss:4.0180 t:44885ms step:186ms
step:250/100000 loss:4.2048 t:46750ms step:187ms
step:260/100000 loss:4.2120 t:48625ms step:184ms
step:270/100000 loss:4.0928 t:50489ms step:188ms
step:280/100000 loss:4.0236 t:52358ms step:188ms
step:290/100000 loss:4.2881 t:54226ms step:188ms
step:300/100000 loss:4.2073 t:56125ms step:186ms
step:310/100000 loss:4.0377 t:57991ms step:187ms
step:320/100000 loss:4.1347 t:59857ms step:187ms
step:330/100000 loss:4.0452 t:61727ms step:186ms
step:340/100000 loss:4.1123 t:63609ms step:185ms
step:350/100000 loss:4.2667 t:65484ms step:188ms
step:360/100000 loss:4.2814 t:67358ms step:188ms
step:370/100000 loss:4.1554 t:69222ms step:186ms
step:380/100000 loss:4.0557 t:71106ms step:185ms
step:390/100000 loss:4.0003 t:72968ms step:187ms
step:400/100000 loss:4.0682 t:74836ms step:186ms
step:410/100000 loss:4.0502 t:76717ms step:205ms
step:420/100000 loss:3.9250 t:78576ms step:186ms
step:430/100000 loss:3.8547 t:80441ms step:186ms
step:440/100000 loss:4.0357 t:82308ms step:186ms
step:450/100000 loss:4.1305 t:84183ms step:185ms
step:460/100000 loss:3.9753 t:86047ms step:185ms
step:470/100000 loss:3.8693 t:87917ms step:188ms
step:480/100000 loss:4.0766 t:89798ms step:189ms
step:490/100000 loss:4.0452 t:91683ms step:186ms
step:500/100000 loss:4.0321 t:93539ms step:185ms
step:510/100000 loss:4.0150 t:95407ms step:185ms
step:520/100000 loss:3.9826 t:97301ms step:183ms
step:530/100000 loss:3.6564 t:99171ms step:187ms
step:540/100000 loss:3.8869 t:101041ms step:187ms
step:550/100000 loss:4.0065 t:102904ms step:186ms
step:560/100000 loss:3.8895 t:104785ms step:187ms
step:570/100000 loss:3.9818 t:106672ms step:185ms
step:580/100000 loss:3.9585 t:108546ms step:187ms
step:590/100000 loss:4.0059 t:110437ms step:187ms
step:600/100000 loss:3.8752 t:112310ms step:188ms
step:610/100000 loss:3.8948 t:114202ms step:192ms
step:620/100000 loss:3.9153 t:116154ms step:193ms
step:630/100000 loss:4.6623 t:118031ms step:188ms
step:640/100000 loss:3.9391 t:119908ms step:187ms
step:650/100000 loss:3.9157 t:121783ms step:187ms
step:660/100000 loss:3.8659 t:123659ms step:189ms
step:670/100000 loss:4.0428 t:125530ms step:187ms
step:680/100000 loss:3.8101 t:127409ms step:186ms
step:690/100000 loss:3.9287 t:129309ms step:188ms
step:700/100000 loss:3.9933 t:131184ms step:189ms
step:710/100000 loss:3.9711 t:133060ms step:189ms
step:720/100000 loss:3.9545 t:134937ms step:187ms
step:730/100000 loss:3.9016 t:136821ms step:187ms
step:740/100000 loss:3.8638 t:138699ms step:187ms
step:750/100000 loss:3.9811 t:140573ms step:186ms
step:760/100000 loss:4.0105 t:142475ms step:182ms
step:770/100000 loss:4.0307 t:144347ms step:186ms
step:780/100000 loss:3.9170 t:146222ms step:188ms
step:790/100000 loss:4.0327 t:148097ms step:188ms
step:800/100000 loss:4.1276 t:149998ms step:189ms
step:810/100000 loss:3.9511 t:151878ms step:187ms
step:820/100000 loss:3.8543 t:153743ms step:186ms
step:830/100000 loss:3.9646 t:155632ms step:184ms
step:840/100000 loss:4.0434 t:157507ms step:188ms
step:850/100000 loss:4.1133 t:159386ms step:190ms
step:860/100000 loss:4.0631 t:161259ms step:188ms
step:870/100000 loss:3.6764 t:163143ms step:186ms
step:880/100000 loss:3.9316 t:165021ms step:188ms
step:890/100000 loss:3.8591 t:166891ms step:188ms
step:900/100000 loss:3.8099 t:168771ms step:187ms
step:910/100000 loss:3.7894 t:170653ms step:191ms
step:920/100000 loss:3.8453 t:172557ms step:195ms
step:930/100000 loss:4.0718 t:174474ms step:200ms
step:940/100000 loss:3.9894 t:176393ms step:190ms
step:950/100000 loss:3.8174 t:178272ms step:187ms
step:960/100000 loss:3.7758 t:180152ms step:187ms
step:970/100000 loss:4.1272 t:182024ms step:189ms
step:980/100000 loss:3.8330 t:183910ms step:188ms
step:990/100000 loss:3.7324 t:185789ms step:189ms
