Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:852275 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:False(4h2o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:231ms step:231ms
step:2/100000 loss:6.6796 t:421ms step:189ms
step:3/100000 loss:6.2584 t:606ms step:185ms
step:4/100000 loss:6.1152 t:797ms step:191ms
step:5/100000 loss:6.1158 t:986ms step:188ms
step:10/100000 loss:5.8076 t:1934ms step:192ms
step:20/100000 loss:5.3257 t:3847ms step:201ms
step:30/100000 loss:4.9388 t:5824ms step:191ms
step:40/100000 loss:4.8566 t:7760ms step:202ms
step:50/100000 loss:4.6935 t:9682ms step:188ms
step:60/100000 loss:4.6480 t:11586ms step:188ms
step:70/100000 loss:4.4674 t:13490ms step:192ms
step:80/100000 loss:4.4567 t:15405ms step:191ms
step:90/100000 loss:4.4282 t:17306ms step:190ms
step:100/100000 loss:4.4878 t:19223ms step:193ms
step:110/100000 loss:4.3745 t:21138ms step:191ms
step:120/100000 loss:4.2170 t:23042ms step:189ms
step:130/100000 loss:4.3399 t:24955ms step:190ms
step:140/100000 loss:4.1788 t:26867ms step:188ms
step:150/100000 loss:4.4022 t:28789ms step:191ms
step:160/100000 loss:4.1917 t:30692ms step:189ms
step:170/100000 loss:4.1936 t:32600ms step:190ms
step:180/100000 loss:4.3391 t:34498ms step:190ms
step:190/100000 loss:4.1326 t:36400ms step:187ms
step:200/100000 loss:4.0720 t:38333ms step:190ms
step:210/100000 loss:4.1172 t:40224ms step:186ms
step:220/100000 loss:4.1493 t:42109ms step:187ms
step:230/100000 loss:4.2508 t:44002ms step:193ms
step:240/100000 loss:3.9622 t:45909ms step:211ms
step:250/100000 loss:4.1492 t:47823ms step:191ms
step:260/100000 loss:4.1662 t:49741ms step:191ms
step:270/100000 loss:4.0210 t:51656ms step:192ms
step:280/100000 loss:3.9906 t:53584ms step:193ms
step:290/100000 loss:4.1893 t:55517ms step:191ms
step:300/100000 loss:4.1467 t:57487ms step:186ms
step:310/100000 loss:3.9932 t:59367ms step:187ms
step:320/100000 loss:4.0521 t:61247ms step:185ms
step:330/100000 loss:3.9214 t:63145ms step:188ms
step:340/100000 loss:4.0193 t:65037ms step:190ms
step:350/100000 loss:4.1788 t:66920ms step:188ms
step:360/100000 loss:4.1604 t:68824ms step:187ms
step:370/100000 loss:4.0149 t:70709ms step:193ms
step:380/100000 loss:3.9035 t:72648ms step:189ms
step:390/100000 loss:3.8370 t:74523ms step:188ms
