START: ED_engram16  Sat Apr  4 01:38:31 CDT 2026
Ternary Reasoner — MLX local testing
Python 3.12.3 (main, Apr  9 2024, 08:09:14) [Clang 15.0.0 (clang-1500.3.9.4)]
MLX 0.31.1
model_params:990518 arch:skc layers:6 dim:128 heads:4 seq_len:256
feedback:False passes:1 every:2 eval_passes:2 capsule:False engram:True(4h3o@L1) vrl:False xsa_start:999 partial_rope:16 lrelu2:lrelu2 shared_blocks:0
optimizer: matrix_lr=0.035 scalar_lr=0.025 embed_lr=0.035 muon_wd=0.04 adam_wd=0.04
eval: sliding=True@32 temp_scaling=False ttt=False ngram_cache=False
turbo_quant: train=False export=1 kv=True
convergence: noise=0.0 sdepth=0.0 ema_eval=False self_distill=0.0 curriculum=True(seq:64->128->256 @35%/65%)
weight_averaging: lawa=True(k=5 freq=100) swa=True(every=50 start_scale=0.2) smeargate=True
radical: tko=False weight_sharing=0 inside_out=0(p1=0.2 p2=0.55) skc=True deq=0
step:1/100000 loss:6.9357 t:243ms step:243ms
step:2/100000 loss:6.6795 t:422ms step:179ms
step:3/100000 loss:6.2577 t:600ms step:178ms
step:4/100000 loss:6.1136 t:779ms step:179ms
step:5/100000 loss:6.1157 t:955ms step:175ms
step:10/100000 loss:5.8015 t:1853ms step:194ms
step:20/100000 loss:5.3298 t:3579ms step:174ms
step:30/100000 loss:4.9072 t:5317ms step:175ms
step:40/100000 loss:4.8579 t:7060ms step:177ms
step:50/100000 loss:4.6501 t:8957ms step:179ms
step:60/100000 loss:4.5433 t:10787ms step:179ms
step:70/100000 loss:4.3633 t:12537ms step:173ms
step:80/100000 loss:4.3090 t:14319ms step:181ms
step:90/100000 loss:4.2274 t:16285ms step:223ms
step:100/100000 loss:4.3187 t:18430ms step:193ms
step:110/100000 loss:4.1208 t:21013ms step:249ms
step:120/100000 loss:4.0002 t:23102ms step:221ms
step:130/100000 loss:4.0934 t:25093ms step:254ms
step:140/100000 loss:3.9541 t:27045ms step:188ms
step:150/100000 loss:4.1411 t:28985ms step:196ms
step:160/100000 loss:3.9584 t:30885ms step:198ms
step:170/100000 loss:3.9108 t:32675ms step:180ms
step:180/100000 loss:4.0440 t:34491ms step:178ms
step:190/100000 loss:3.8517 t:36273ms step:177ms
step:200/100000 loss:3.8113 t:38057ms step:174ms
step:210/100000 loss:3.7973 t:39851ms step:180ms
step:220/100000 loss:3.8763 t:41659ms step:178ms
step:230/100000 loss:3.9707 t:43438ms step:180ms
step:240/100000 loss:3.6410 t:45219ms step:177ms
step:250/100000 loss:3.8383 t:47010ms step:174ms
step:260/100000 loss:3.8958 t:48902ms step:192ms
step:270/100000 loss:3.8286 t:50795ms step:189ms
step:280/100000 loss:3.6558 t:52583ms step:174ms
step:290/100000 loss:3.9285 t:54333ms step:176ms
step:300/100000 loss:3.8246 t:56140ms step:175ms
step:310/100000 loss:3.7183 t:57935ms step:185ms
step:320/100000 loss:3.7417 t:59715ms step:179ms
step:330/100000 loss:3.6210 t:61493ms step:178ms
step:340/100000 loss:3.7310 t:63274ms step:178ms
step:350/100000 loss:3.8898 t:65091ms step:175ms
step:360/100000 loss:3.8490 t:66876ms step:179ms
step:370/100000 loss:3.6967 t:68657ms step:181ms
step:380/100000 loss:3.6210 t:70456ms step:178ms
