logs/idea22_wsd_schedule_seed42_20260325_215828.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=/raid/R13K47007/parameter-golf/data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:80
val_loader:shards pattern=/raid/R13K47007/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:25517137
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:786432 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:42
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9323 val_bpb:4.1057 train_time:0ms step_avg:0.01ms
step:1/20000 train_loss:6.9334 train_time:716ms step_avg:716.43ms
step:2/20000 train_loss:6.8990 train_time:1394ms step_avg:697.12ms
step:3/20000 train_loss:6.7915 train_time:2082ms step_avg:694.11ms
step:4/20000 train_loss:6.5339 train_time:2769ms step_avg:692.28ms
step:5/20000 train_loss:6.1718 train_time:3450ms step_avg:690.06ms
step:6/20000 train_loss:5.9314 train_time:4134ms step_avg:689.05ms
step:7/20000 train_loss:5.8188 train_time:4817ms step_avg:688.15ms
step:8/20000 train_loss:5.7808 train_time:5495ms step_avg:686.93ms
step:9/20000 train_loss:5.7468 train_time:6176ms step_avg:686.28ms
step:10/20000 train_loss:5.6736 train_time:6856ms step_avg:685.63ms
step:100/20000 train_loss:3.2519 train_time:68437ms step_avg:684.37ms
step:200/20000 train_loss:2.6652 train_time:137126ms step_avg:685.63ms
step:300/20000 train_loss:2.5143 train_time:205599ms step_avg:685.33ms
step:400/20000 train_loss:2.4703 train_time:274034ms step_avg:685.09ms
step:500/20000 train_loss:2.3505 train_time:342479ms step_avg:684.96ms
step:500/20000 val_loss:2.3709 val_bpb:1.4042 train_time:342480ms step_avg:684.96ms
step:600/20000 train_loss:2.3097 train_time:410830ms step_avg:684.72ms
step:700/20000 train_loss:2.3507 train_time:479171ms step_avg:684.53ms
step:800/20000 train_loss:2.2584 train_time:547534ms step_avg:684.42ms
swa:start step:850
step:877/20000 val_loss:2.1912 val_bpb:1.2977 train_time:600166ms step_avg:684.34ms
stopping_early: wallclock_cap train_time:600166ms step:877/20000
peak memory allocated: 20295 MiB reserved: 20478 MiB
Serialized model: 98437419 bytes
Code size: 53346 bytes
Total submission size: 98490765 bytes
Serialized model int6+zstd: 15767236 bytes
Total submission size int8+zlib: 15820582 bytes
final_eval_mode:sliding_window stride:64 batch_seqs:32
  sliding_eval [  0.0%] 32/969088 windows running_bpb=1.346495
  sliding_eval [  0.2%] 1632/969088 windows running_bpb=1.277198
  sliding_eval [  0.3%] 3232/969088 windows running_bpb=1.273062
  sliding_eval [  0.5%] 4832/969088 windows running_bpb=1.269931
  sliding_eval [  0.7%] 6432/969088 windows running_bpb=1.283534
  sliding_eval [  0.8%] 8032/969088 windows running_bpb=1.285878
  sliding_eval [  1.0%] 9632/969088 windows running_bpb=1.288270
  sliding_eval [  1.2%] 11232/969088 windows running_bpb=1.283163
  sliding_eval [  1.3%] 12832/969088 windows running_bpb=1.280750
  sliding_eval [  1.5%] 14432/969088 windows running_bpb=1.282801
  sliding_eval [  1.7%] 16032/969088 windows running_bpb=1.291640
  sliding_eval [  1.8%] 17632/969088 windows running_bpb=1.289765
  sliding_eval [  2.0%] 19232/969088 windows running_bpb=1.290886
  sliding_eval [  2.1%] 20832/969088 windows running_bpb=1.289621
  sliding_eval [  2.3%] 22432/969088 windows running_bpb=1.288472
  sliding_eval [  2.5%] 24032/969088 windows running_bpb=1.289213
  sliding_eval [  2.6%] 25632/969088 windows running_bpb=1.290712
  sliding_eval [  2.8%] 27232/969088 windows running_bpb=1.291077
  sliding_eval [  3.0%] 28832/969088 windows running_bpb=1.296976
  sliding_eval [  3.1%] 30432/969088 windows running_bpb=1.294338
  sliding_eval [  3.3%] 32032/969088 windows running_bpb=1.295833
  sliding_eval [  3.5%] 33632/969088 windows running_bpb=1.294351
  sliding_eval [  3.6%] 35232/969088 windows running_bpb=1.293613
  sliding_eval [  3.8%] 36832/969088 windows running_bpb=1.292842
  sliding_eval [  4.0%] 38432/969088 windows running_bpb=1.293487
  sliding_eval [  4.1%] 40032/969088 windows running_bpb=1.291048
  sliding_eval [  4.3%] 41632/969088 windows running_bpb=1.290326
  sliding_eval [  4.5%] 43232/969088 windows running_bpb=1.290850
  sliding_eval [  4.6%] 44832/969088 windows running_bpb=1.290079
  sliding_eval [  4.8%] 46432/969088 windows running_bpb=1.289890
  sliding_eval [  5.0%] 48032/969088 windows running_bpb=1.288998
  sliding_eval [  5.1%] 49632/969088 windows running_bpb=1.290382
  sliding_eval [  5.3%] 51232/969088 windows running_bpb=1.291630
  sliding_eval [  5.5%] 52832/969088 windows running_bpb=1.292184
  sliding_eval [  5.6%] 54432/969088 windows running_bpb=1.291788
  sliding_eval [  5.8%] 56032/969088 windows running_bpb=1.292332
  sliding_eval [  5.9%] 57632/969088 windows running_bpb=1.291689
  sliding_eval [  6.1%] 59232/969088 windows running_bpb=1.287752
  sliding_eval [  6.3%] 60832/969088 windows running_bpb=1.287873
  sliding_eval [  6.4%] 62432/969088 windows running_bpb=1.288473
  sliding_eval [  6.6%] 64032/969088 windows running_bpb=1.288747
  sliding_eval [  6.8%] 65632/969088 windows running_bpb=1.288586
  sliding_eval [  6.9%] 67232/969088 windows running_bpb=1.287301
  sliding_eval [  7.1%] 68832/969088 windows running_bpb=1.286991
  sliding_eval [  7.3%] 70432/969088 windows running_bpb=1.286107
  sliding_eval [  7.4%] 72032/969088 windows running_bpb=1.286185
  sliding_eval [  7.6%] 73632/969088 windows running_bpb=1.286287
  sliding_eval [  7.8%] 75232/969088 windows running_bpb=1.286578
  sliding_eval [  7.9%] 76832/969088 windows running_bpb=1.286306
  sliding_eval [  8.1%] 78432/969088 windows running_bpb=1.286687
  sliding_eval [  8.3%] 80032/969088 windows running_bpb=1.287101
  sliding_eval [  8.4%] 81632/969088 windows running_bpb=1.287000
  sliding_eval [  8.6%] 83232/969088 windows running_bpb=1.288238
  sliding_eval [  8.8%] 84832/969088 windows running_bpb=1.290205
  sliding_eval [  8.9%] 86432/969088 windows running_bpb=1.289380
  sliding_eval [  9.1%] 88032/969088 windows running_bpb=1.290107
  sliding_eval [  9.2%] 89632/969088 windows running_bpb=1.290480
  sliding_eval [  9.4%] 91232/969088 windows running_bpb=1.290343
  sliding_eval [  9.6%] 92832/969088 windows running_bpb=1.289875
  sliding_eval [  9.7%] 94432/969088 windows running_bpb=1.290143
  sliding_eval [  9.9%] 96032/969088 windows running_bpb=1.289685
  sliding_eval [ 10.1%] 97632/969088 windows running_bpb=1.292549
  sliding_eval [ 10.2%] 99232/969088 windows running_bpb=1.292615
  sliding_eval [ 10.4%] 100832/969088 windows running_bpb=1.292632
  sliding_eval [ 10.6%] 102432/969088 windows running_bpb=1.292297
  sliding_eval [ 10.7%] 104032/969088 windows running_bpb=1.291840
  sliding_eval [ 10.9%] 105632/969088 windows running_bpb=1.291127
  sliding_eval [ 11.1%] 107232/969088 windows running_bpb=1.291165
  sliding_eval [ 11.2%] 108832/969088 windows running_bpb=1.291729
  sliding_eval [ 11.4%] 110432/969088 windows running_bpb=1.291847
  sliding_eval [ 11.6%] 112032/969088 windows running_bpb=1.291775
  sliding_eval [ 11.7%] 113632/969088 windows running_bpb=1.292298
  sliding_eval [ 11.9%] 115232/969088 windows running_bpb=1.292134
  sliding_eval [ 12.1%] 116832/969088 windows running_bpb=1.291814
  sliding_eval [ 12.2%] 118432/969088 windows running_bpb=1.292129
  sliding_eval [ 12.4%] 120032/969088 windows running_bpb=1.292266
  sliding_eval [ 12.6%] 121632/969088 windows running_bpb=1.292438
  sliding_eval [ 12.7%] 123232/969088 windows running_bpb=1.292447
  sliding_eval [ 12.9%] 124832/969088 windows running_bpb=1.291971
  sliding_eval [ 13.0%] 126432/969088 windows running_bpb=1.291967
  sliding_eval [ 13.2%] 128032/969088 windows running_bpb=1.291927
  sliding_eval [ 13.4%] 129632/969088 windows running_bpb=1.292071
  sliding_eval [ 13.5%] 131232/969088 windows running_bpb=1.292315
  sliding_eval [ 13.7%] 132832/969088 windows running_bpb=1.291869
  sliding_eval [ 13.9%] 134432/969088 windows running_bpb=1.291355
  sliding_eval [ 14.0%] 136032/969088 windows running_bpb=1.290177
  sliding_eval [ 14.2%] 137632/969088 windows running_bpb=1.290715
  sliding_eval [ 14.4%] 139232/969088 windows running_bpb=1.290525
  sliding_eval [ 14.5%] 140832/969088 windows running_bpb=1.291263
  sliding_eval [ 14.7%] 142432/969088 windows running_bpb=1.291643
  sliding_eval [ 14.9%] 144032/969088 windows running_bpb=1.292030
  sliding_eval [ 15.0%] 145632/969088 windows running_bpb=1.291892
  sliding_eval [ 15.2%] 147232/969088 windows running_bpb=1.291738
  sliding_eval [ 15.4%] 148832/969088 windows running_bpb=1.291496
  sliding_eval [ 15.5%] 150432/969088 windows running_bpb=1.291199
  sliding_eval [ 15.7%] 152032/969088 windows running_bpb=1.290880
  sliding_eval [ 15.9%] 153632/969088 windows running_bpb=1.291711
  sliding_eval [ 16.0%] 155232/969088 windows running_bpb=1.291640
  sliding_eval [ 16.2%] 156832/969088 windows running_bpb=1.292140
  sliding_eval [ 16.3%] 158432/969088 windows running_bpb=1.291964
  sliding_eval [ 16.5%] 160032/969088 windows running_bpb=1.292403
  sliding_eval [ 16.7%] 161632/969088 windows running_bpb=1.292515
  sliding_eval [ 16.8%] 163232/969088 windows running_bpb=1.292478
  sliding_eval [ 17.0%] 164832/969088 windows running_bpb=1.292400
  sliding_eval [ 17.2%] 166432/969088 windows running_bpb=1.292526
  sliding_eval [ 17.3%] 168032/969088 windows running_bpb=1.291961
  sliding_eval [ 17.5%] 169632/969088 windows running_bpb=1.291935
  sliding_eval [ 17.7%] 171232/969088 windows running_bpb=1.291622
  sliding_eval [ 17.8%] 172832/969088 windows running_bpb=1.291468
  sliding_eval [ 18.0%] 174432/969088 windows running_bpb=1.291464
  sliding_eval [ 18.2%] 176032/969088 windows running_bpb=1.291279
  sliding_eval [ 18.3%] 177632/969088 windows running_bpb=1.291517
  sliding_eval [ 18.5%] 179232/969088 windows running_bpb=1.291858
  sliding_eval [ 18.7%] 180832/969088 windows running_bpb=1.292242
  sliding_eval [ 18.8%] 182432/969088 windows running_bpb=1.292608
  sliding_eval [ 19.0%] 184032/969088 windows running_bpb=1.293281
  sliding_eval [ 19.2%] 185632/969088 windows running_bpb=1.292889
  sliding_eval [ 19.3%] 187232/969088 windows running_bpb=1.292866
  sliding_eval [ 19.5%] 188832/969088 windows running_bpb=1.293050
  sliding_eval [ 19.7%] 190432/969088 windows running_bpb=1.292915
  sliding_eval [ 19.8%] 192032/969088 windows running_bpb=1.293087
  sliding_eval [ 20.0%] 193632/969088 windows running_bpb=1.293188
  sliding_eval [ 20.1%] 195232/969088 windows running_bpb=1.292652
  sliding_eval [ 20.3%] 196832/969088 windows running_bpb=1.292453
  sliding_eval [ 20.5%] 198432/969088 windows running_bpb=1.292689
  sliding_eval [ 20.6%] 200032/969088 windows running_bpb=1.292893
  sliding_eval [ 20.8%] 201632/969088 windows running_bpb=1.292837
  sliding_eval [ 21.0%] 203232/969088 windows running_bpb=1.292735
  sliding_eval [ 21.1%] 204832/969088 windows running_bpb=1.292550
  sliding_eval [ 21.3%] 206432/969088 windows running_bpb=1.292284
