Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,960
  scalars                 : 24
  total                   : 91,096,024
Estimated FLOPs per token: 4.443398e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011433 | lrm: 1.00 | dt: 792ms | tok/sec: 82,782 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895565 | lrm: 1.00 | dt: 659ms | tok/sec: 99,457 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.522554 | lrm: 1.00 | dt: 659ms | tok/sec: 99,481 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.119595 | lrm: 1.00 | dt: 659ms | tok/sec: 99,497 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.777483 | lrm: 1.00 | dt: 659ms | tok/sec: 99,499 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.468827 | lrm: 1.00 | dt: 659ms | tok/sec: 99,502 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.215069 | lrm: 1.00 | dt: 657ms | tok/sec: 99,716 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.015522 | lrm: 1.00 | dt: 657ms | tok/sec: 99,812 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.841698 | lrm: 1.00 | dt: 657ms | tok/sec: 99,809 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.698091 | lrm: 1.00 | dt: 657ms | tok/sec: 99,790 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.571803 | lrm: 1.00 | dt: 656ms | tok/sec: 99,831 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.465797 | lrm: 1.00 | dt: 657ms | tok/sec: 99,793 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.382183 | lrm: 1.00 | dt: 657ms | tok/sec: 99,825 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.329188 | lrm: 1.00 | dt: 657ms | tok/sec: 99,797 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 6.264152 | lrm: 1.00 | dt: 657ms | tok/sec: 99,781 | mfu: 4.5% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 6.194958 | lrm: 1.00 | dt: 682ms | tok/sec: 96,130 | mfu: 4.3% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 6.133499 | lrm: 1.00 | dt: 673ms | tok/sec: 97,385 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 6.080245 | lrm: 1.00 | dt: 659ms | tok/sec: 99,394 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 6.043374 | lrm: 1.00 | dt: 659ms | tok/sec: 99,487 | mfu: 4.5% | epoch: 1 | remaining: 295s    
step 00019 (1.8%) | loss: 5.995958 | lrm: 1.00 | dt: 659ms | tok/sec: 99,494 | mfu: 4.5% | epoch: 1 | remaining: 294s    
step 00020 (2.0%) | loss: 5.954447 | lrm: 1.00 | dt: 659ms | tok/sec: 99,508 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00021 (2.2%) | loss: 5.908151 | lrm: 1.00 | dt: 659ms | tok/sec: 99,470 | mfu: 4.5% | epoch: 1 | remaining: 293s    
step 00022 (2.4%) | loss: 5.874821 | lrm: 1.00 | dt: 659ms | tok/sec: 99,437 | mfu: 4.5% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 5.841114 | lrm: 1.00 | dt: 659ms | tok/sec: 99,490 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00024 (2.9%) | loss: 5.813817 | lrm: 1.00 | dt: 659ms | tok/sec: 99,504 | mfu: 4.5% | epoch: 1 | remaining: 291s    
step 00025 (3.1%) | loss: 5.793668 | lrm: 1.00 | dt: 659ms | tok/sec: 99,485 | mfu: 4.5% | epoch: 1 | remaining: 290s    
step 00026 (3.3%) | loss: 5.758611 | lrm: 1.00 | dt: 659ms | tok/sec: 99,508 | mfu: 4.5% | epoch: 1 | remaining: 289s    
step 00027 (3.5%) | loss: 5.731556 | lrm: 1.00 | dt: 659ms | tok/sec: 99,511 | mfu: 4.5% | epoch: 1 | remaining: 289s    
step 00028 (3.7%) | loss: 5.697484 | lrm: 1.00 | dt: 659ms | tok/sec: 99,484 | mfu: 4.5% | epoch: 1 | remaining: 288s    
step 00029 (4.0%) | loss: 5.656736 | lrm: 1.00 | dt: 658ms | tok/sec: 99,539 | mfu: 4.5% | epoch: 1 | remaining: 287s    
step 00030 (4.2%) | loss: 5.629362 | lrm: 1.00 | dt: 657ms | tok/sec: 99,772 | mfu: 4.5% | epoch: 1 | remaining: 287s    
step 00031 (4.4%) | loss: 5.612734 | lrm: 1.00 | dt: 657ms | tok/sec: 99,807 | mfu: 4.5% | epoch: 1 | remaining: 286s    
step 00032 (4.6%) | loss: 5.611636 | lrm: 1.00 | dt: 657ms | tok/sec: 99,813 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00033 (4.8%) | loss: 5.595435 | lrm: 1.00 | dt: 657ms | tok/sec: 99,773 | mfu: 4.5% | epoch: 1 | remaining: 285s    
step 00034 (5.1%) | loss: 5.575108 | lrm: 1.00 | dt: 657ms | tok/sec: 99,819 | mfu: 4.5% | epoch: 1 | remaining: 284s    
step 00035 (5.3%) | loss: 5.544842 | lrm: 1.00 | dt: 657ms | tok/sec: 99,805 | mfu: 4.5% | epoch: 1 | remaining: 284s    
step 00036 (5.5%) | loss: 5.505656 | lrm: 1.00 | dt: 657ms | tok/sec: 99,777 | mfu: 4.5% | epoch: 1 | remaining: 283s    
step 00037 (5.7%) | loss: 5.488307 | lrm: 1.00 | dt: 657ms | tok/sec: 99,813 | mfu: 4.5% | epoch: 1 | remaining: 282s    
step 00038 (5.9%) | loss: 5.458946 | lrm: 1.00 | dt: 657ms | tok/sec: 99,813 | mfu: 4.5% | epoch: 1 | remaining: 282s    
step 00039 (6.2%) | loss: 5.426395 | lrm: 1.00 | dt: 657ms | tok/sec: 99,809 | mfu: 4.5% | epoch: 1 | remaining: 281s    
step 00040 (6.4%) | loss: 5.403437 | lrm: 1.00 | dt: 657ms | tok/sec: 99,796 | mfu: 4.5% | epoch: 1 | remaining: 280s    
step 00041 (6.6%) | loss: 5.386099 | lrm: 1.00 | dt: 657ms | tok/sec: 99,774 | mfu: 4.5% | epoch: 1 | remaining: 280s    
step 00042 (6.8%) | loss: 5.370101 | lrm: 1.00 | dt: 696ms | tok/sec: 94,146 | mfu: 4.2% | epoch: 1 | remaining: 279s    
step 00043 (7.0%) | loss: 5.364651 | lrm: 1.00 | dt: 658ms | tok/sec: 99,580 | mfu: 4.5% | epoch: 1 | remaining: 278s    
step 00044 (7.3%) | loss: 5.355087 | lrm: 1.00 | dt: 658ms | tok/sec: 99,668 | mfu: 4.5% | epoch: 1 | remaining: 278s    
step 00045 (7.5%) | loss: 5.326861 | lrm: 1.00 | dt: 657ms | tok/sec: 99,757 | mfu: 4.5% | epoch: 1 | remaining: 277s    
step 00046 (7.7%) | loss: 5.314890 | lrm: 1.00 | dt: 657ms | tok/sec: 99,807 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00047 (7.9%) | loss: 5.296554 | lrm: 1.00 | dt: 657ms | tok/sec: 99,775 | mfu: 4.5% | epoch: 1 | remaining: 276s    
step 00048 (8.1%) | loss: 5.265230 | lrm: 1.00 | dt: 657ms | tok/sec: 99,770 | mfu: 4.5% | epoch: 1 | remaining: 275s    
step 00049 (8.4%) | loss: 5.241200 | lrm: 1.00 | dt: 657ms | tok/sec: 99,806 | mfu: 4.5% | epoch: 1 | remaining: 274s    
step 00050 (8.6%) | loss: 5.219699 | lrm: 1.00 | dt: 657ms | tok/sec: 99,820 | mfu: 4.5% | epoch: 1 | remaining: 274s    
step 00051 (8.8%) | loss: 5.200218 | lrm: 1.00 | dt: 657ms | tok/sec: 99,821 | mfu: 4.5% | epoch: 1 | remaining: 273s    
step 00052 (9.0%) | loss: 5.180090 | lrm: 1.00 | dt: 657ms | tok/sec: 99,790 | mfu: 4.5% | epoch: 1 | remaining: 272s    
step 00053 (9.2%) | loss: 5.153932 | lrm: 1.00 | dt: 657ms | tok/sec: 99,811 | mfu: 4.5% | epoch: 1 | remaining: 272s    
step 00054 (9.4%) | loss: 5.134881 | lrm: 1.00 | dt: 657ms | tok/sec: 99,750 | mfu: 4.5% | epoch: 1 | remaining: 271s    
step 00055 (9.7%) | loss: 5.108450 | lrm: 1.00 | dt: 657ms | tok/sec: 99,806 | mfu: 4.5% | epoch: 1 | remaining: 270s    
step 00056 (9.9%) | loss: 5.099980 | lrm: 1.00 | dt: 657ms | tok/sec: 99,793 | mfu: 4.5% | epoch: 1 | remaining: 270s    
step 00057 (10.1%) | loss: 5.079486 | lrm: 1.00 | dt: 657ms | tok/sec: 99,803 | mfu: 4.5% | epoch: 1 | remaining: 269s    
step 00058 (10.3%) | loss: 5.061919 | lrm: 1.00 | dt: 657ms | tok/sec: 99,784 | mfu: 4.5% | epoch: 1 | remaining: 268s    
step 00059 (10.5%) | loss: 5.044245 | lrm: 1.00 | dt: 657ms | tok/sec: 99,772 | mfu: 4.5% | epoch: 1 | remaining: 268s    
step 00060 (10.8%) | loss: 5.032308 | lrm: 1.00 | dt: 657ms | tok/sec: 99,772 | mfu: 4.5% | epoch: 1 | remaining: 267s    
step 00061 (11.0%) | loss: 5.021016 | lrm: 1.00 | dt: 657ms | tok/sec: 99,783 | mfu: 4.5% | epoch: 1 | remaining: 266s    
step 00062 (11.2%) | loss: 5.003778 | lrm: 1.00 | dt: 656ms | tok/sec: 99,835 | mfu: 4.5% | epoch: 1 | remaining: 266s    
step 00063 (11.4%) | loss: 4.990699 | lrm: 1.00 | dt: 657ms | tok/sec: 99,815 | mfu: 4.5% | epoch: 1 | remaining: 265s    
step 00064 (11.6%) | loss: 4.968574 | lrm: 1.00 | dt: 657ms | tok/sec: 99,806 | mfu: 4.5% | epoch: 1 | remaining: 264s    
step 00065 (11.9%) | loss: 4.937763 | lrm: 1.00 | dt: 657ms | tok/sec: 99,744 | mfu: 4.5% | epoch: 1 | remaining: 264s    
