
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
logs/baseline_h100_original.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=/workspace/parameter-golf/data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:80
val_loader:shards pattern=/workspace/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:17059912
world_size:2 grad_accum_steps:4
sdp_backends:cudnn=False flash=True mem_efficient=False math=False
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.05 head_lr:0.0 matrix_lr:0.04 scalar_lr:0.04
train_batch_tokens:524288 train_seq_len:1024 iterations:20000 warmup_steps:5 max_wallclock_seconds:1200.000
seed:1337
warmup_step:1/5
warmup_step:2/5
warmup_step:3/5
warmup_step:4/5
warmup_step:5/5
step:1/20000 train_loss:6.9351 train_time:184ms step_avg:183.92ms
step:2/20000 train_loss:16.7655 train_time:353ms step_avg:176.52ms
step:3/20000 train_loss:8.7595 train_time:521ms step_avg:173.65ms
step:4/20000 train_loss:6.6029 train_time:689ms step_avg:172.23ms
step:5/20000 train_loss:6.6597 train_time:857ms step_avg:171.44ms
step:6/20000 train_loss:6.8160 train_time:1026ms step_avg:170.96ms
step:7/20000 train_loss:6.3289 train_time:1195ms step_avg:170.67ms
step:8/20000 train_loss:6.1695 train_time:1364ms step_avg:170.51ms
step:9/20000 train_loss:6.0764 train_time:1532ms step_avg:170.22ms
step:10/20000 train_loss:5.9763 train_time:1702ms step_avg:170.16ms
step:25/20000 train_loss:4.8419 train_time:4233ms step_avg:169.32ms
step:50/20000 train_loss:4.0518 train_time:8467ms step_avg:169.34ms
step:75/20000 train_loss:3.5416 train_time:12725ms step_avg:169.67ms
step:100/20000 train_loss:3.3492 train_time:16972ms step_avg:169.72ms
step:125/20000 train_loss:3.1077 train_time:21194ms step_avg:169.55ms
step:150/20000 train_loss:3.0387 train_time:25429ms step_avg:169.53ms
step:175/20000 train_loss:2.8613 train_time:29657ms step_avg:169.47ms
step:200/20000 train_loss:2.7883 train_time:33935ms step_avg:169.68ms
step:225/20000 train_loss:2.7807 train_time:38172ms step_avg:169.66ms
step:250/20000 train_loss:2.7508 train_time:42417ms step_avg:169.67ms
step:275/20000 train_loss:2.6823 train_time:46681ms step_avg:169.75ms
step:300/20000 train_loss:2.5833 train_time:50912ms step_avg:169.71ms
step:325/20000 train_loss:2.6296 train_time:55151ms step_avg:169.70ms
step:350/20000 train_loss:2.6208 train_time:59393ms step_avg:169.69ms
step:375/20000 train_loss:2.6559 train_time:63640ms step_avg:169.71ms
step:400/20000 train_loss:2.3708 train_time:67996ms step_avg:169.99ms
step:425/20000 train_loss:2.5394 train_time:72270ms step_avg:170.05ms
step:450/20000 train_loss:2.4981 train_time:76521ms step_avg:170.05ms
step:475/20000 train_loss:2.5435 train_time:80778ms step_avg:170.06ms
step:500/20000 train_loss:2.4759 train_time:85005ms step_avg:170.01ms
step:525/20000 train_loss:2.5920 train_time:89237ms step_avg:169.97ms
step:550/20000 train_loss:2.3435 train_time:93466ms step_avg:169.94ms
step:575/20000 train_loss:2.4496 train_time:97765ms step_avg:170.03ms
step:600/20000 train_loss:2.5379 train_time:101986ms step_avg:169.98ms
step:625/20000 train_loss:2.4619 train_time:106206ms step_avg:169.93ms
step:650/20000 train_loss:2.3543 train_time:110434ms step_avg:169.90ms
step:675/20000 train_loss:2.3046 train_time:114656ms step_avg:169.86ms
step:700/20000 train_loss:2.4358 train_time:118877ms step_avg:169.82ms
step:725/20000 train_loss:2.4343 train_time:123102ms step_avg:169.80ms
step:750/20000 train_loss:2.3672 train_time:127322ms step_avg:169.76ms
step:775/20000 train_loss:2.4598 train_time:131635ms step_avg:169.85ms
step:800/20000 train_loss:2.3166 train_time:135865ms step_avg:169.83ms
step:825/20000 train_loss:2.4053 train_time:140212ms step_avg:169.95ms
step:850/20000 train_loss:2.4965 train_time:144449ms step_avg:169.94ms
step:875/20000 train_loss:2.3441 train_time:148675ms step_avg:169.91ms
step:900/20000 train_loss:2.3832 train_time:152901ms step_avg:169.89ms
step:925/20000 train_loss:2.3086 train_time:157130ms step_avg:169.87ms
step:950/20000 train_loss:2.4026 train_time:161358ms step_avg:169.85ms
step:975/20000 train_loss:2.3120 train_time:165633ms step_avg:169.88ms
step:1000/20000 train_loss:2.3420 train_time:169868ms step_avg:169.87ms
step:1025/20000 train_loss:2.3696 train_time:174118ms step_avg:169.87ms
step:1050/20000 train_loss:2.4270 train_time:178342ms step_avg:169.85ms
step:1075/20000 train_loss:2.2624 train_time:182574ms step_avg:169.84ms
step:1100/20000 train_loss:2.3009 train_time:186813ms step_avg:169.83ms
step:1125/20000 train_loss:2.3595 train_time:191050ms step_avg:169.82ms
step:1150/20000 train_loss:2.3099 train_time:195335ms step_avg:169.86ms
step:1175/20000 train_loss:2.2765 train_time:199552ms step_avg:169.83ms
step:1200/20000 train_loss:2.3028 train_time:203811ms step_avg:169.84ms
step:1225/20000 train_loss:2.3338 train_time:208062ms step_avg:169.85ms
step:1250/20000 train_loss:2.2463 train_time:212304ms step_avg:169.84ms
step:1275/20000 train_loss:2.3028 train_time:216525ms step_avg:169.82ms
step:1300/20000 train_loss:2.3349 train_time:220747ms step_avg:169.81ms
step:1325/20000 train_loss:2.2569 train_time:224971ms step_avg:169.79ms
step:1350/20000 train_loss:2.2062 train_time:229265ms step_avg:169.83ms
step:1375/20000 train_loss:2.3256 train_time:233515ms step_avg:169.83ms
step:1400/20000 train_loss:2.3313 train_time:237742ms step_avg:169.82ms
step:1425/20000 train_loss:2.2912 train_time:241978ms step_avg:169.81ms
step:1450/20000 train_loss:2.2450 train_time:246227ms step_avg:169.81ms
step:1475/20000 train_loss:2.2933 train_time:250465ms step_avg:169.81ms
step:1500/20000 train_loss:2.3042 train_time:254691ms step_avg:169.79ms
step:1525/20000 train_loss:2.2703 train_time:258916ms step_avg:169.78ms
step:1550/20000 train_loss:2.4262 train_time:263188ms step_avg:169.80ms
