Loading Model
Model Compiled
Model Loaded
Starting Training
Validating
Step 0 | Val Loss: 8.2640 | Val BPB: 4.8944
Step 0 | Train GeoLoss: 8.2648 | Time: 0.0s
Step 10 | Train GeoLoss: 6.3557 | Time: 122.0s
Step 20 | Train GeoLoss: 4.3679 | Time: 145.0s
Step 30 | Train GeoLoss: 3.8394 | Time: 168.1s
Step 40 | Train GeoLoss: 3.5277 | Time: 191.1s
Step 50 | Train GeoLoss: 3.4242 | Time: 214.1s
Step 60 | Train GeoLoss: 3.2947 | Time: 237.1s
Step 70 | Train GeoLoss: 3.3523 | Time: 260.1s
Step 80 | Train GeoLoss: 3.2607 | Time: 283.2s
Step 90 | Train GeoLoss: 3.1724 | Time: 306.2s
Validating
Step 100 | Val Loss: 3.1737 | Val BPB: 1.8796
Step 100 | Train GeoLoss: 3.1882 | Time: 329.2s
Step 110 | Train GeoLoss: 3.1534 | Time: 445.8s
Step 120 | Train GeoLoss: 3.1643 | Time: 468.7s
Step 130 | Train GeoLoss: 3.1271 | Time: 491.8s
Step 140 | Train GeoLoss: 3.0703 | Time: 514.8s
Step 150 | Train GeoLoss: 3.0408 | Time: 537.8s
Step 160 | Train GeoLoss: 3.0050 | Time: 560.8s
Step 170 | Train GeoLoss: 2.9911 | Time: 583.8s
Step 180 | Train GeoLoss: 2.9734 | Time: 606.7s
Step 190 | Train GeoLoss: 2.9823 | Time: 629.7s
Validating
Step 200 | Val Loss: 2.9725 | Val BPB: 1.7605
Step 200 | Train GeoLoss: 2.9220 | Time: 652.9s
Step 210 | Train GeoLoss: 2.9552 | Time: 769.7s
Step 220 | Train GeoLoss: 2.9263 | Time: 792.6s
Step 230 | Train GeoLoss: 2.9105 | Time: 815.7s
Step 240 | Train GeoLoss: 2.8628 | Time: 838.6s
Step 250 | Train GeoLoss: 2.8543 | Time: 861.6s
Step 260 | Train GeoLoss: 2.8787 | Time: 884.5s
Step 270 | Train GeoLoss: 2.8906 | Time: 907.6s
Step 280 | Train GeoLoss: 2.8151 | Time: 930.5s
Step 290 | Train GeoLoss: 2.8768 | Time: 953.5s
Validating
Step 300 | Val Loss: 2.8276 | Val BPB: 1.6746
Step 300 | Train GeoLoss: 2.8135 | Time: 976.4s
Step 310 | Train GeoLoss: 2.8075 | Time: 1093.3s
Step 320 | Train GeoLoss: 2.7856 | Time: 1116.2s
Step 330 | Train GeoLoss: 2.7594 | Time: 1139.3s
Step 340 | Train GeoLoss: 2.8026 | Time: 1162.3s
Step 350 | Train GeoLoss: 2.7385 | Time: 1185.2s
Step 360 | Train GeoLoss: 2.7693 | Time: 1208.3s
Step 370 | Train GeoLoss: 2.7000 | Time: 1231.3s
Step 380 | Train GeoLoss: 2.7760 | Time: 1254.4s
Step 390 | Train GeoLoss: 2.7207 | Time: 1277.4s
Validating
Step 400 | Val Loss: 2.7436 | Val BPB: 1.6249
Step 400 | Train GeoLoss: 2.6020 | Time: 1300.4s
Step 410 | Train GeoLoss: 2.7832 | Time: 1417.3s
Step 420 | Train GeoLoss: 2.7306 | Time: 1440.1s
Step 430 | Train GeoLoss: 2.7060 | Time: 1463.0s
Step 440 | Train GeoLoss: 2.7130 | Time: 1485.9s
Step 450 | Train GeoLoss: 2.7112 | Time: 1509.0s
Step 460 | Train GeoLoss: 2.7203 | Time: 1531.9s
Step 470 | Train GeoLoss: 2.7123 | Time: 1555.0s
Step 480 | Train GeoLoss: 2.7123 | Time: 1577.9s
Step 490 | Train GeoLoss: 2.7006 | Time: 1601.1s
Validating
Step 500 | Val Loss: 2.6836 | Val BPB: 1.5894
Step 500 | Train GeoLoss: 2.6826 | Time: 1624.0s
Step 510 | Train GeoLoss: 2.6176 | Time: 1740.9s
Step 520 | Train GeoLoss: 2.6881 | Time: 1763.7s
Step 530 | Train GeoLoss: 2.6514 | Time: 1786.8s
Step 540 | Train GeoLoss: 2.5413 | Time: 1809.7s
Step 550 | Train GeoLoss: 2.6676 | Time: 1832.8s
Step 560 | Train GeoLoss: 2.6591 | Time: 1855.7s
Step 570 | Train GeoLoss: 2.6335 | Time: 1878.7s
Step 580 | Train GeoLoss: 2.7310 | Time: 1901.9s
Step 590 | Train GeoLoss: 2.6323 | Time: 1925.0s
Validating
Step 600 | Val Loss: 2.6407 | Val BPB: 1.5640
Step 600 | Train GeoLoss: 2.6643 | Time: 1948.0s
Step 610 | Train GeoLoss: 2.6855 | Time: 2065.4s
Step 620 | Train GeoLoss: 2.6218 | Time: 2088.2s
Step 630 | Train GeoLoss: 2.6744 | Time: 2111.0s
Step 640 | Train GeoLoss: 2.6129 | Time: 2133.8s
Step 650 | Train GeoLoss: 2.5734 | Time: 2156.7s
Step 700 | Val Loss: 2.6014 | Val BPB: 1.5407
Step 700 | Train GeoLoss: 2.6103 | Time: 2272.1s
Step 710 | Train GeoLoss: 2.6053 | Time: 2389.3s
Step 720 | Train GeoLoss: 2.5478 | Time: 2412.3s
Step 730 | Train GeoLoss: 2.5865 | Time: 2435.4s
Step 740 | Train GeoLoss: 2.6199 | Time: 2458.4s
Step 750 | Train GeoLoss: 2.5498 | Time: 2481.5s
Step 760 | Train GeoLoss: 2.5100 | Time: 2504.5s
Step 770 | Train GeoLoss: 2.5723 | Time: 2527.7s
Step 780 | Train GeoLoss: 2.5708 | Time: 2550.7s
Step 790 | Train GeoLoss: 2.5756 | Time: 2573.7s
Validating
Step 800 | Val Loss: 2.5751 | Val BPB: 1.5251
Step 800 | Train GeoLoss: 2.5444 | Time: 2596.7s
Step 810 | Train GeoLoss: 2.5510 | Time: 2713.6s
Step 820 | Train GeoLoss: 2.5633 | Time: 2736.6s
Step 830 | Train GeoLoss: 2.5638 | Time: 2759.6s
Step 840 | Train GeoLoss: 2.5489 | Time: 2782.6s
Step 850 | Train GeoLoss: 2.5779 | Time: 2805.6s
Step 860 | Train GeoLoss: 2.5611 | Time: 2828.6s
Step 870 | Train GeoLoss: 2.5366 | Time: 2851.7s
Step 880 | Train GeoLoss: 2.5659 | Time: 2874.7s
Step 890 | Train GeoLoss: 2.5590 | Time: 2897.7s
Validating
Step 900 | Val Loss: 2.5524 | Val BPB: 1.5117
Step 900 | Train GeoLoss: 2.5533 | Time: 2920.9s
Step 910 | Train GeoLoss: 2.5572 | Time: 3037.7s
Step 920 | Train GeoLoss: 2.5737 | Time: 3060.8s
Step 930 | Train GeoLoss: 2.5552 | Time: 3083.7s
Step 940 | Train GeoLoss: 2.4920 | Time: 3106.8s
Step 950 | Train GeoLoss: 2.5400 | Time: 3129.8s
Step 960 | Train GeoLoss: 2.5303 | Time: 3153.0s
Step 970 | Train GeoLoss: 2.5480 | Time: 3176.0s
Step 980 | Train GeoLoss: 2.5242 | Time: 3199.1s
Step 990 | Train GeoLoss: 2.5268 | Time: 3222.1s
Validating
