step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,19.2,4.891622,7.057119,,,3.30e-05
20,35.8,3.945724,5.692477,,,6.30e-05
30,52.4,3.646752,5.261151,,,9.30e-05
40,68.9,3.405109,4.912534,,,1.23e-04
50,85.5,3.115561,4.494804,,,1.53e-04
60,102.1,2.923132,4.217188,,,1.83e-04
70,118.7,2.821809,4.071009,,,2.13e-04
80,135.3,2.739368,3.952073,,,2.43e-04
90,151.9,2.666979,3.847637,,,2.73e-04
100,168.5,2.633901,3.799916,,,3.00e-04
100,182.4,,,2.612489,3.769024,3.00e-04
110,199.0,2.603766,3.756440,,,2.99e-04
120,215.6,2.590408,3.737169,,,2.95e-04
130,232.2,2.580464,3.722823,,,2.89e-04
140,248.8,2.577226,3.718151,,,2.80e-04
150,265.4,2.562963,3.697574,,,2.69e-04
160,281.9,2.566605,3.702828,,,2.56e-04
170,298.6,2.558431,3.691036,,,2.42e-04
180,315.1,2.541207,3.666187,,,2.26e-04
190,331.7,2.541327,3.666360,,,2.08e-04
200,348.3,2.539712,3.664030,,,1.90e-04
200,362.2,,,2.535204,3.657526,1.90e-04
210,378.8,2.527050,3.645763,,,1.70e-04
220,395.4,2.529923,3.649907,,,1.51e-04
230,412.0,2.521725,3.638080,,,1.31e-04
240,428.6,2.527317,3.646147,,,1.12e-04
250,445.2,2.513236,3.625833,,,9.37e-05
260,461.8,2.513952,3.626866,,,7.61e-05
270,478.4,2.504506,3.613239,,,5.98e-05
280,495.0,2.492381,3.595745,,,4.50e-05
290,511.6,2.485609,3.585976,,,3.19e-05
300,528.2,2.485479,3.585788,,,2.09e-05
300,542.1,,,2.487541,3.588763,2.09e-05
310,558.7,2.502492,3.610333,,,1.21e-05
320,575.3,2.474601,3.570094,,,5.59e-06
330,591.9,2.458462,3.546810,,,1.54e-06
336,614.1,,,2.470399,3.564033,0
