step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,20.8,4.845595,6.990717,,,3.30e-05
20,38.9,3.819417,5.510253,,,6.30e-05
30,56.9,3.552339,5.124942,,,9.30e-05
40,75.0,3.345427,4.826430,,,1.23e-04
50,93.2,3.084493,4.449982,,,1.53e-04
60,111.3,2.894849,4.176384,,,1.83e-04
70,129.3,2.786572,4.020173,,,2.13e-04
80,147.4,2.700711,3.896303,,,2.43e-04
90,165.5,2.656887,3.833078,,,2.73e-04
100,183.6,2.624629,3.786539,,,3.00e-04
100,199.3,,,2.607796,3.762254,3.00e-04
110,217.4,2.587456,3.732910,,,2.98e-04
120,235.5,2.593041,3.740967,,,2.94e-04
130,253.6,2.574805,3.714658,,,2.86e-04
140,271.7,2.571534,3.709940,,,2.75e-04
150,289.8,2.568644,3.705770,,,2.62e-04
160,307.9,2.559401,3.692435,,,2.46e-04
170,326.0,2.550517,3.679618,,,2.28e-04
180,344.1,2.561151,3.694960,,,2.09e-04
190,362.2,2.543633,3.669687,,,1.88e-04
200,380.3,2.530897,3.651312,,,1.66e-04
200,395.9,,,2.532871,3.654160,1.66e-04
210,414.1,2.536192,3.658951,,,1.45e-04
220,432.1,2.518227,3.633033,,,1.23e-04
230,450.2,2.531508,3.652194,,,1.02e-04
240,468.3,2.515666,3.629339,,,8.14e-05
250,486.4,2.513227,3.625819,,,6.27e-05
260,504.5,2.501144,3.608388,,,4.59e-05
270,522.6,2.501843,3.609397,,,3.13e-05
280,540.7,2.491627,3.594658,,,1.92e-05
290,558.8,2.484193,3.583933,,,9.90e-06
300,576.9,2.481228,3.579656,,,3.59e-06
300,592.6,,,2.481045,3.579391,3.59e-06
306,617.3,,,2.470404,3.564040,0
