step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,11.3,4.712206,6.798276,,,3.30e-05
20,21.0,3.723088,5.371280,,,6.30e-05
30,30.7,3.451059,4.978826,,,9.30e-05
40,40.4,3.174541,4.579895,,,1.23e-04
50,50.1,2.948222,4.253386,,,1.53e-04
60,59.9,2.806070,4.048303,,,1.83e-04
70,69.6,2.696711,3.890532,,,2.13e-04
80,79.4,2.632800,3.798328,,,2.43e-04
90,89.1,2.615506,3.773378,,,2.73e-04
100,98.8,2.609666,3.764952,,,3.00e-04
100,107.3,,,2.591357,3.738538,3.00e-04
110,117.0,2.575615,3.715827,,,3.00e-04
120,126.8,2.567315,3.703853,,,2.99e-04
130,136.5,2.565400,3.701090,,,2.97e-04
140,146.3,2.553202,3.683492,,,2.95e-04
150,156.0,2.545846,3.672880,,,2.92e-04
160,165.8,2.546477,3.673789,,,2.88e-04
170,175.5,2.543699,3.669782,,,2.84e-04
180,185.2,2.535796,3.658381,,,2.80e-04
190,195.0,2.536707,3.659695,,,2.75e-04
200,204.7,2.521987,3.638458,,,2.69e-04
200,213.1,,,2.508536,3.619053,2.69e-04
210,222.9,2.507734,3.617895,,,2.62e-04
220,232.6,2.496144,3.601174,,,2.56e-04
230,242.4,2.481009,3.579340,,,2.48e-04
240,252.1,2.469817,3.563193,,,2.41e-04
250,261.9,2.434064,3.511611,,,2.33e-04
260,271.7,2.397714,3.459171,,,2.24e-04
270,281.4,2.371177,3.420885,,,2.16e-04
280,291.1,2.323956,3.352759,,,2.07e-04
290,300.9,2.282567,3.293048,,,1.97e-04
300,310.7,2.232049,3.220165,,,1.88e-04
300,319.1,,,2.209113,3.187077,1.88e-04
310,328.8,2.199993,3.173919,,,1.78e-04
320,338.6,2.174816,3.137596,,,1.69e-04
330,348.4,2.137110,3.083198,,,1.59e-04
340,358.1,2.096884,3.025163,,,1.49e-04
350,367.9,2.079984,3.000783,,,1.39e-04
360,377.6,2.056682,2.967165,,,1.29e-04
370,387.4,2.033287,2.933413,,,1.20e-04
380,397.1,1.990230,2.871294,,,1.10e-04
390,406.9,1.965198,2.835181,,,1.01e-04
400,416.7,1.970165,2.842348,,,9.15e-05
400,425.1,,,1.935593,2.792470,9.15e-05
410,434.9,1.931889,2.787127,,,8.25e-05
420,444.7,1.912294,2.758857,,,7.39e-05
430,454.4,1.894184,2.732730,,,6.55e-05
440,464.2,1.874286,2.704023,,,5.76e-05
450,473.9,1.868007,2.694965,,,5.00e-05
460,483.7,1.850124,2.669164,,,4.29e-05
470,493.5,1.851866,2.671677,,,3.62e-05
480,503.2,1.828743,2.638318,,,3.01e-05
490,513.0,1.820335,2.626189,,,2.44e-05
500,522.8,1.824417,2.632077,,,1.93e-05
500,531.2,,,1.807401,2.607528,1.93e-05
510,541.0,1.808972,2.609796,,,1.47e-05
520,550.7,1.818073,2.622925,,,1.08e-05
530,560.5,1.804595,2.603480,,,7.40e-06
540,570.3,1.810526,2.612037,,,4.65e-06
550,580.0,1.785581,2.576049,,,2.53e-06
560,589.8,1.794999,2.589637,,,1.05e-06
570,599.6,1.810982,2.612695,,,2.07e-07
572,609.0,,,1.777564,2.564482,0
