step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,22.1,4.941828,7.129551,,,3.30e-05
20,41.4,3.866051,5.577533,,,6.30e-05
30,60.7,3.557812,5.132837,,,9.30e-05
40,80.0,3.303481,4.765915,,,1.23e-04
50,99.3,3.046725,4.395496,,,1.53e-04
60,118.7,2.889344,4.168442,,,1.83e-04
70,138.0,2.796920,4.035102,,,2.13e-04
80,157.3,2.703431,3.900227,,,2.43e-04
90,176.6,2.657258,3.833612,,,2.73e-04
100,196.0,2.615209,3.772949,,,3.00e-04
100,213.0,,,2.599803,3.750722,3.00e-04
110,232.3,2.594187,3.742620,,,2.98e-04
120,251.7,2.579738,3.721775,,,2.92e-04
130,271.0,2.581541,3.724376,,,2.83e-04
140,290.4,2.581807,3.724761,,,2.71e-04
150,309.7,2.572531,3.711378,,,2.55e-04
160,329.0,2.564896,3.700362,,,2.36e-04
170,348.4,2.554070,3.684744,,,2.16e-04
180,367.7,2.553413,3.683796,,,1.94e-04
190,387.0,2.539652,3.663943,,,1.70e-04
200,406.4,2.538711,3.662586,,,1.46e-04
200,423.4,,,2.531770,3.652572,1.46e-04
210,442.8,2.524754,3.642450,,,1.23e-04
220,462.1,2.536682,3.659658,,,9.96e-05
230,481.4,2.522667,3.639439,,,7.78e-05
240,500.8,2.521801,3.638189,,,5.78e-05
250,520.1,2.514334,3.627417,,,4.02e-05
260,539.5,2.502673,3.610593,,,2.54e-05
270,558.8,2.513717,3.626526,,,1.37e-05
280,578.1,2.506207,3.615692,,,5.48e-06
290,597.4,2.492942,3.596555,,,9.34e-07
293,618.4,,,2.489971,3.592269,0
