step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,19.5,4.901731,7.071703,,,3.30e-05
20,36.4,3.870908,5.584540,,,6.30e-05
30,53.2,3.565803,5.144366,,,9.30e-05
40,70.1,3.367224,4.857878,,,1.23e-04
50,87.0,3.138470,4.527855,,,1.53e-04
60,103.8,2.959899,4.270232,,,1.83e-04
70,120.7,2.857583,4.122621,,,2.13e-04
80,137.6,2.736576,3.948045,,,2.43e-04
90,154.4,2.676157,3.860878,,,2.73e-04
100,171.3,2.639877,3.808538,,,3.00e-04
100,185.4,,,2.624032,3.785678,3.00e-04
110,202.3,2.631505,3.796459,,,2.99e-04
120,219.2,2.600195,3.751288,,,2.95e-04
130,236.1,2.585501,3.730089,,,2.88e-04
140,253.0,2.573738,3.713119,,,2.79e-04
150,269.8,2.568847,3.706063,,,2.68e-04
160,286.7,2.577128,3.718010,,,2.55e-04
170,303.6,2.581057,3.723679,,,2.39e-04
180,320.5,2.572276,3.711010,,,2.23e-04
190,337.4,2.558662,3.691369,,,2.05e-04
200,354.3,2.550383,3.679425,,,1.86e-04
200,368.4,,,2.551069,3.680414,1.86e-04
210,385.2,2.550786,3.680007,,,1.66e-04
220,402.1,2.541839,3.667099,,,1.46e-04
230,419.0,2.528344,3.647630,,,1.26e-04
240,435.9,2.539626,3.663905,,,1.07e-04
250,452.8,2.525952,3.644178,,,8.80e-05
260,469.6,2.519877,3.635414,,,7.04e-05
270,486.5,2.512048,3.624119,,,5.43e-05
280,503.4,2.501419,3.608785,,,3.98e-05
290,520.3,2.506414,3.615991,,,2.73e-05
300,537.2,2.494141,3.598285,,,1.69e-05
300,551.3,,,2.498993,3.605284,1.69e-05
310,568.1,2.496055,3.601046,,,8.89e-06
320,585.0,2.502001,3.609625,,,3.39e-06
330,614.3,,,2.495790,3.600664,0
