step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,22.0,5.071488,7.316611,,,3.30e-05
20,41.2,3.909190,5.639769,,,6.30e-05
30,60.5,3.545965,5.115746,,,9.30e-05
40,79.7,3.322774,4.793750,,,1.23e-04
50,99.0,3.065632,4.422772,,,1.53e-04
60,118.3,2.907200,4.194203,,,1.83e-04
70,137.6,2.799567,4.038922,,,2.13e-04
80,156.8,2.738410,3.950691,,,2.43e-04
90,176.1,2.678656,3.864484,,,2.73e-04
100,195.4,2.633724,3.799660,,,3.00e-04
100,212.4,,,2.605363,3.758745,3.00e-04
110,231.7,2.604259,3.757152,,,2.98e-04
120,251.0,2.584606,3.728798,,,2.93e-04
130,270.3,2.576085,3.716505,,,2.83e-04
140,289.6,2.571809,3.710336,,,2.71e-04
150,308.9,2.577508,3.718558,,,2.55e-04
160,328.2,2.567800,3.704552,,,2.37e-04
170,347.5,2.558107,3.690569,,,2.17e-04
180,366.8,2.552876,3.683022,,,1.95e-04
190,386.1,2.547708,3.675565,,,1.71e-04
200,405.4,2.550299,3.679304,,,1.48e-04
200,422.4,,,2.527283,3.646099,1.48e-04
210,441.7,2.532612,3.653786,,,1.24e-04
220,461.0,2.521671,3.638002,,,1.01e-04
230,480.4,2.525194,3.643084,,,7.92e-05
240,499.7,2.517941,3.632621,,,5.92e-05
250,519.0,2.524463,3.642031,,,4.14e-05
260,538.3,2.510806,3.622327,,,2.64e-05
270,557.6,2.491065,3.593847,,,1.46e-05
280,576.9,2.507148,3.617050,,,6.08e-06
290,596.2,2.499000,3.605295,,,1.21e-06
293,617.1,,,2.496634,3.601882,0
