step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,23.2,4.852780,7.001082,,,3.30e-05
20,43.5,3.781882,5.456102,,,6.30e-05
30,63.7,3.528187,5.090097,,,9.30e-05
40,84.0,3.254246,4.694885,,,1.23e-04
50,104.3,2.993269,4.318374,,,1.53e-04
60,124.6,2.847594,4.108210,,,1.83e-04
70,145.0,2.739213,3.951849,,,2.13e-04
80,165.3,2.667920,3.848995,,,2.43e-04
90,185.6,2.633959,3.800000,,,2.73e-04
100,205.9,2.608617,3.763439,,,3.00e-04
100,223.8,,,2.602467,3.754566,3.00e-04
110,244.1,2.603367,3.755865,,,2.98e-04
120,264.4,2.585851,3.730595,,,2.91e-04
130,284.8,2.566912,3.703271,,,2.81e-04
140,305.1,2.566046,3.702022,,,2.66e-04
150,325.3,2.569551,3.707079,,,2.48e-04
160,345.7,2.550985,3.680293,,,2.27e-04
170,365.9,2.544067,3.670312,,,2.04e-04
180,386.2,2.557101,3.689116,,,1.79e-04
190,406.5,2.534459,3.656452,,,1.54e-04
200,426.9,2.533977,3.655756,,,1.28e-04
200,444.8,,,2.514287,3.627349,1.28e-04
210,465.1,2.533194,3.654627,,,1.03e-04
220,485.4,2.520084,3.635713,,,7.95e-05
230,505.8,2.518073,3.632811,,,5.79e-05
240,526.1,2.507151,3.617054,,,3.90e-05
250,546.4,2.501399,3.608756,,,2.34e-05
260,566.7,2.504611,3.613390,,,1.15e-05
270,587.0,2.488196,3.589708,,,3.72e-06
278,619.2,,,2.485465,3.585769,0
