step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,25.5,4.903429,7.074153,,,3.30e-05
20,47.7,3.864657,5.575522,,,6.30e-05
30,69.9,3.545606,5.115229,,,9.30e-05
40,92.1,3.325263,4.797341,,,1.23e-04
50,114.3,3.087192,4.453877,,,1.53e-04
60,136.6,2.898587,4.181777,,,1.83e-04
70,158.8,2.797587,4.036065,,,2.13e-04
80,181.1,2.684914,3.873512,,,2.43e-04
90,203.3,2.641077,3.810269,,,2.73e-04
100,225.6,2.608583,3.763390,,,3.00e-04
100,245.3,,,2.598149,3.748337,3.00e-04
110,267.6,2.609796,3.765140,,,2.97e-04
120,289.9,2.597598,3.747542,,,2.88e-04
130,312.1,2.577528,3.718588,,,2.74e-04
140,334.4,2.569629,3.707191,,,2.55e-04
150,356.6,2.569238,3.706626,,,2.32e-04
160,378.9,2.556785,3.688661,,,2.05e-04
170,401.1,2.550264,3.679253,,,1.77e-04
180,423.4,2.541986,3.667311,,,1.47e-04
190,445.6,2.540675,3.665419,,,1.17e-04
200,467.9,2.531320,3.651923,,,8.92e-05
200,487.7,,,2.529306,3.649018,8.92e-05
210,510.0,2.529041,3.648635,,,6.33e-05
220,532.3,2.522504,3.639203,,,4.08e-05
230,554.5,2.524070,3.641463,,,2.27e-05
240,576.8,2.523571,3.640743,,,9.50e-06
250,599.1,2.525347,3.643306,,,1.89e-06
252,621.2,,,2.517047,3.631332,0
