step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,16.2,4.954609,7.147989,,,3.30e-05
20,30.1,4.096960,5.910664,,,6.30e-05
30,43.9,3.788667,5.465891,,,9.30e-05
40,57.8,3.543323,5.111934,,,1.23e-04
50,71.7,3.287018,4.742165,,,1.53e-04
60,85.5,3.038773,4.384022,,,1.83e-04
70,99.4,2.882604,4.158718,,,2.13e-04
80,113.2,2.790094,4.025255,,,2.43e-04
90,127.1,2.705041,3.902549,,,2.73e-04
100,141.0,2.649993,3.823132,,,3.00e-04
100,151.9,,,2.620511,3.780599,3.00e-04
110,165.8,2.621756,3.782394,,,2.99e-04
120,179.7,2.603445,3.755977,,,2.97e-04
130,193.6,2.579029,3.720752,,,2.93e-04
140,207.4,2.583941,3.727838,,,2.87e-04
150,221.3,2.574123,3.713675,,,2.81e-04
160,235.2,2.577953,3.719200,,,2.72e-04
170,249.0,2.569643,3.707212,,,2.63e-04
180,262.9,2.559570,3.692679,,,2.52e-04
190,276.7,2.566930,3.703297,,,2.40e-04
200,290.6,2.558321,3.690878,,,2.27e-04
200,301.5,,,2.542751,3.668414,2.27e-04
210,315.4,2.540200,3.664733,,,2.14e-04
220,329.2,2.533883,3.655621,,,1.99e-04
230,343.1,2.524155,3.641587,,,1.84e-04
240,356.9,2.528221,3.647452,,,1.69e-04
250,370.8,2.518788,3.633843,,,1.54e-04
260,384.7,2.517501,3.631986,,,1.38e-04
270,398.5,2.517181,3.631525,,,1.23e-04
280,412.3,2.502221,3.609942,,,1.08e-04
290,426.2,2.483872,3.583470,,,9.35e-05
300,440.0,2.484614,3.584541,,,7.95e-05
300,451.0,,,2.486067,3.586636,7.95e-05
310,464.8,2.493933,3.597985,,,6.63e-05
320,478.7,2.474739,3.570294,,,5.39e-05
330,492.6,2.456271,3.543651,,,4.26e-05
340,506.4,2.462157,3.552141,,,3.24e-05
350,520.3,2.456854,3.544491,,,2.34e-05
360,534.2,2.452375,3.538029,,,1.58e-05
370,548.0,2.439514,3.519475,,,9.64e-06
380,561.9,2.426344,3.500475,,,4.95e-06
390,575.7,2.454041,3.540432,,,1.79e-06
400,589.6,2.440590,3.521027,,,1.99e-07
400,600.5,,,2.437511,3.516585,1.99e-07
401,611.5,,,2.434282,3.511926,0
