step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,22.3,4.712063,6.798070,,,3.30e-05
20,41.7,3.694327,5.329787,,,6.30e-05
30,61.1,3.473894,5.011770,,,9.30e-05
40,80.5,3.211282,4.632900,,,1.23e-04
50,99.9,2.977365,4.295430,,,1.53e-04
60,119.3,2.828674,4.080914,,,1.83e-04
70,138.7,2.744392,3.959321,,,2.13e-04
80,158.1,2.655323,3.830822,,,2.43e-04
90,177.6,2.618881,3.778247,,,2.73e-04
100,197.0,2.603446,3.755979,,,3.00e-04
100,214.0,,,2.586284,3.731219,3.00e-04
110,233.5,2.593011,3.740924,,,2.98e-04
120,252.9,2.578537,3.720042,,,2.92e-04
130,272.3,2.564220,3.699388,,,2.83e-04
140,291.7,2.561952,3.696115,,,2.70e-04
150,311.2,2.547125,3.674725,,,2.53e-04
160,330.6,2.548325,3.676456,,,2.35e-04
170,350.0,2.556139,3.687730,,,2.14e-04
180,369.4,2.536189,3.658947,,,1.91e-04
190,388.8,2.536545,3.659461,,,1.67e-04
200,408.2,2.522184,3.638742,,,1.43e-04
200,425.3,,,2.513970,3.626891,1.43e-04
210,444.7,2.511842,3.623822,,,1.19e-04
220,464.1,2.511620,3.623501,,,9.54e-05
230,483.5,2.505819,3.615133,,,7.36e-05
240,503.0,2.497515,3.603152,,,5.38e-05
250,522.4,2.472706,3.567361,,,3.65e-05
260,541.8,2.480598,3.578747,,,2.22e-05
270,561.2,2.456913,3.544576,,,1.12e-05
280,580.6,2.457796,3.545851,,,3.84e-06
290,600.0,2.442061,3.523150,,,3.15e-07
291,617.1,,,2.452792,3.538631,0
