step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,23.5,4.997400,7.209724,,,3.30e-05
20,43.9,3.960417,5.713673,,,6.30e-05
30,64.2,3.587352,5.175455,,,9.30e-05
40,84.6,3.369434,4.861065,,,1.23e-04
50,105.1,3.089011,4.456501,,,1.53e-04
60,125.5,2.939945,4.241444,,,1.83e-04
70,145.9,2.810681,4.054956,,,2.13e-04
80,166.4,2.746094,3.961776,,,2.43e-04
90,186.8,2.671336,3.853923,,,2.73e-04
100,207.2,2.645515,3.816671,,,3.00e-04
100,225.4,,,2.622893,3.784035,3.00e-04
110,245.9,2.605133,3.758413,,,2.98e-04
120,266.3,2.603423,3.755945,,,2.91e-04
130,286.8,2.578693,3.720268,,,2.80e-04
140,307.3,2.583203,3.726775,,,2.65e-04
150,327.7,2.584355,3.728436,,,2.46e-04
160,348.1,2.568026,3.704879,,,2.25e-04
170,368.6,2.570563,3.708539,,,2.01e-04
180,389.0,2.555619,3.686978,,,1.76e-04
190,409.3,2.554751,3.685726,,,1.50e-04
200,429.5,2.546399,3.673678,,,1.24e-04
200,447.4,,,2.547226,3.674870,1.24e-04
210,467.6,2.548894,3.677276,,,9.87e-05
220,487.8,2.534344,3.656285,,,7.50e-05
230,508.0,2.528178,3.647390,,,5.36e-05
240,528.2,2.536625,3.659577,,,3.51e-05
250,548.4,2.525909,3.644116,,,2.01e-05
260,568.6,2.516592,3.630675,,,9.05e-06
270,588.8,2.512897,3.625344,,,2.28e-06
277,618.8,,,2.512874,3.625310,0
