step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,31.2,4.794664,6.917238,,,3.30e-05
20,58.8,3.657477,5.276623,,,6.30e-05
30,86.4,3.379575,4.875696,,,9.30e-05
40,114.0,3.097901,4.469327,,,1.23e-04
50,141.6,2.896403,4.178626,,,1.53e-04
60,169.3,2.792294,4.028428,,,1.83e-04
70,196.9,2.706527,3.904693,,,2.13e-04
80,224.5,2.642361,3.812121,,,2.43e-04
90,252.1,2.624571,3.786456,,,2.73e-04
100,279.8,2.611176,3.767130,,,3.00e-04
100,304.4,,,2.586608,3.731687,3.00e-04
110,332.0,2.583799,3.727634,,,2.94e-04
120,359.7,2.591702,3.739036,,,2.76e-04
130,387.3,2.577791,3.718966,,,2.48e-04
140,414.9,2.560838,3.694508,,,2.12e-04
150,442.6,2.582412,3.725633,,,1.71e-04
160,470.2,2.556513,3.688268,,,1.29e-04
170,497.8,2.550822,3.680059,,,8.77e-05
180,525.5,2.546063,3.673193,,,5.18e-05
190,553.1,2.544282,3.670624,,,2.38e-05
200,580.8,2.536309,3.659120,,,6.08e-06
200,605.4,,,2.529651,3.649515,6.08e-06
201,630.2,,,2.535426,3.657847,0
