step,wall_time,train_loss,train_bpb,val_loss,val_bpb,lr
10,20.1,4.855907,7.005594,,,3.30e-05
20,37.5,3.831753,5.528051,,,6.30e-05
30,54.9,3.543169,5.111712,,,9.30e-05
40,72.4,3.249095,4.687454,,,1.23e-04
50,89.8,2.986519,4.308636,,,1.53e-04
60,107.3,2.850430,4.112301,,,1.83e-04
70,124.7,2.753455,3.972396,,,2.13e-04
80,142.2,2.689248,3.879765,,,2.43e-04
90,159.6,2.628060,3.791490,,,2.73e-04
100,177.1,2.599139,3.749766,,,3.00e-04
100,192.4,,,2.598883,3.749395,3.00e-04
110,209.9,2.594219,3.742667,,,2.99e-04
120,227.3,2.581853,3.724827,,,2.94e-04
130,244.8,2.582183,3.725303,,,2.87e-04
140,262.3,2.575261,3.715316,,,2.78e-04
150,279.7,2.561449,3.695390,,,2.65e-04
160,297.2,2.552536,3.682531,,,2.51e-04
170,314.6,2.544474,3.670900,,,2.35e-04
180,332.1,2.559765,3.692960,,,2.17e-04
190,349.5,2.547696,3.675548,,,1.98e-04
200,367.0,2.539285,3.663414,,,1.78e-04
200,382.3,,,2.526080,3.644364,1.78e-04
210,399.7,2.523231,3.640253,,,1.57e-04
220,417.2,2.515454,3.629032,,,1.37e-04
230,434.7,2.506404,3.615976,,,1.16e-04
240,452.1,2.506923,3.616726,,,9.62e-05
250,469.6,2.503012,3.611083,,,7.74e-05
260,487.0,2.477817,3.574735,,,6.00e-05
270,504.5,2.485467,3.585771,,,4.43e-05
280,521.9,2.466455,3.558342,,,3.06e-05
290,539.4,2.455404,3.542399,,,1.92e-05
300,556.9,2.442102,3.523208,,,1.04e-05
300,572.2,,,2.437632,3.516760,1.04e-05
310,589.7,2.452769,3.538598,,,4.13e-06
317,615.5,,,2.437962,3.517236,0
