Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 860ms | tok/sec: 76,169 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.892312 | lrm: 1.00 | dt: 750ms | tok/sec: 87,370 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.534499 | lrm: 1.00 | dt: 750ms | tok/sec: 87,371 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.111837 | lrm: 1.00 | dt: 750ms | tok/sec: 87,355 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.751988 | lrm: 1.00 | dt: 800ms | tok/sec: 81,901 | mfu: 4.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.449299 | lrm: 1.00 | dt: 751ms | tok/sec: 87,230 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.210782 | lrm: 1.00 | dt: 751ms | tok/sec: 87,217 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.016869 | lrm: 1.00 | dt: 753ms | tok/sec: 87,090 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.850845 | lrm: 1.00 | dt: 753ms | tok/sec: 87,069 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.705286 | lrm: 1.00 | dt: 752ms | tok/sec: 87,094 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.580392 | lrm: 1.00 | dt: 753ms | tok/sec: 87,071 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.477669 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.388392 | lrm: 1.00 | dt: 753ms | tok/sec: 87,030 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.321155 | lrm: 1.00 | dt: 753ms | tok/sec: 87,055 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.250500 | lrm: 1.00 | dt: 753ms | tok/sec: 87,066 | mfu: 4.4% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.185408 | lrm: 1.00 | dt: 753ms | tok/sec: 87,061 | mfu: 4.4% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.126316 | lrm: 1.00 | dt: 753ms | tok/sec: 87,014 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.074760 | lrm: 1.00 | dt: 753ms | tok/sec: 87,063 | mfu: 4.4% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 6.038483 | lrm: 1.00 | dt: 753ms | tok/sec: 87,062 | mfu: 4.4% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 5.990340 | lrm: 1.00 | dt: 753ms | tok/sec: 87,064 | mfu: 4.4% | epoch: 1 | remaining: 293s    
step 00020 (2.3%) | loss: 5.946338 | lrm: 1.00 | dt: 753ms | tok/sec: 87,068 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00021 (2.5%) | loss: 5.901090 | lrm: 1.00 | dt: 753ms | tok/sec: 87,068 | mfu: 4.4% | epoch: 1 | remaining: 292s    
step 00022 (2.8%) | loss: 5.865009 | lrm: 1.00 | dt: 753ms | tok/sec: 87,074 | mfu: 4.4% | epoch: 1 | remaining: 291s    
step 00023 (3.0%) | loss: 5.829411 | lrm: 1.00 | dt: 753ms | tok/sec: 87,068 | mfu: 4.4% | epoch: 1 | remaining: 290s    
step 00024 (3.3%) | loss: 5.800995 | lrm: 1.00 | dt: 753ms | tok/sec: 87,053 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00025 (3.5%) | loss: 5.776253 | lrm: 1.00 | dt: 753ms | tok/sec: 87,010 | mfu: 4.4% | epoch: 1 | remaining: 289s    
step 00026 (3.8%) | loss: 5.744410 | lrm: 1.00 | dt: 753ms | tok/sec: 87,019 | mfu: 4.4% | epoch: 1 | remaining: 288s    
step 00027 (4.0%) | loss: 5.718633 | lrm: 1.00 | dt: 781ms | tok/sec: 83,925 | mfu: 4.3% | epoch: 1 | remaining: 287s    
step 00028 (4.3%) | loss: 5.684682 | lrm: 1.00 | dt: 778ms | tok/sec: 84,236 | mfu: 4.3% | epoch: 1 | remaining: 286s    
step 00029 (4.5%) | loss: 5.647271 | lrm: 1.00 | dt: 753ms | tok/sec: 86,997 | mfu: 4.4% | epoch: 1 | remaining: 286s    
step 00030 (4.8%) | loss: 5.627708 | lrm: 1.00 | dt: 753ms | tok/sec: 87,061 | mfu: 4.4% | epoch: 1 | remaining: 285s    
