phase,variant,scheduler_policy,lookahead_size,seed,max_wallclock_seconds,train_tokens,eff_tok_per_sec,final_train_lm_loss,final_valid_lm_loss,final_valid_bpb,docs_scored_per_second,avg_selected_score,queue_fill_ratio
seed_check,baseline_no_scheduler,none,8,42,15,59392,62606.58686525872,6.140096664428711,6.047339725494385,3.5748426588770434,nan,nan,nan
seed_check,baseline_no_scheduler,none,8,1337,15,59392,59738.29749423859,6.1403608322143555,6.061937184427299,3.5834718448122396,nan,nan,nan
seed_check,baseline_no_scheduler,none,8,2024,15,59392,62518.36230006884,6.137506484985352,6.060321035572127,3.5825164696997405,nan,nan,nan
seed_check,novelty_v1_lookahead_16,novelty_v1,16,42,15,59392,60296.56988014419,6.0536789894104,6.031978885800231,3.565762205734428,45.68537251829352,0.46785774080399256,0.9375
seed_check,novelty_v1_lookahead_16,novelty_v1,16,1337,15,59392,62707.19716454881,6.047016143798828,6.0456781144235645,3.5738604090931614,47.51185129991743,0.46785774080399256,0.9375
seed_check,novelty_v1_lookahead_16,novelty_v1,16,2024,15,59392,61806.339612679636,6.0539350509643555,6.0395458801119934,3.570235381592422,46.829291530350616,0.46785774080399256,0.9375
budget_check,baseline_no_scheduler,none,8,42,0.8,79872,82158.64188849824,5.921122074127197,5.986717364367316,3.5390061733352667,nan,nan,nan
budget_check,baseline_no_scheduler,none,8,42,1.2,167936,119769.9118346762,5.7454023361206055,5.754017846724566,3.401447478085777,nan,nan,nan
budget_check,novelty_v1_lookahead_16,novelty_v1,16,42,0.8,67584,67475.97226672863,6.023540496826172,6.006936961529302,3.550958847033298,47.923275757619756,0.4674487353924408,0.9375
budget_check,novelty_v1_lookahead_16,novelty_v1,16,42,1.2,174080,126120.70893454093,5.591636657714844,5.693785392536837,3.365841483309033,72.44985577581625,0.4636910349001025,0.9375
