logs/cuda/skc_h100_s7_20260406_072858.txt
DDP enabled: 8 GPUs find_unused=1
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.025
params:32003852 L:8 d:512 h:8 kv:4 ws:8 ga:1 s:7
step:0/500000 val_loss:6.9302 val_bpb:4.1719 train_time:0ms zero_frac:0.413
step:20/500000 loss:10.7305 t:4332ms avg:216.6ms
step:40/500000 loss:6.7962 t:8461ms avg:211.5ms
step:60/500000 loss:6.7655 t:12634ms avg:210.6ms
step:80/500000 loss:6.7585 t:16788ms avg:209.9ms
step:100/500000 loss:6.7503 t:20919ms avg:209.2ms
step:120/500000 loss:6.7520 t:25056ms avg:208.8ms
step:140/500000 loss:6.8453 t:29202ms avg:208.6ms
step:160/500000 loss:6.7589 t:33396ms avg:208.7ms
step:180/500000 loss:6.7645 t:37610ms avg:208.9ms
step:200/500000 loss:6.7567 t:41814ms avg:209.1ms
step:220/500000 loss:6.7465 t:46020ms avg:209.2ms
step:240/500000 loss:6.7542 t:50287ms avg:209.5ms
step:260/500000 loss:6.7497 t:54523ms avg:209.7ms
step:280/500000 loss:6.6683 t:58755ms avg:209.8ms
step:300/500000 loss:6.6214 t:62978ms avg:209.9ms
step:320/500000 loss:6.4725 t:67379ms avg:210.6ms
step:340/500000 loss:6.2924 t:71767ms avg:211.1ms
step:360/500000 loss:5.9836 t:76132ms avg:211.5ms
step:380/500000 loss:5.8409 t:80489ms avg:211.8ms
step:400/500000 loss:5.3953 t:84904ms avg:212.3ms
step:420/500000 loss:5.3025 t:89252ms avg:212.5ms
step:440/500000 loss:5.1882 t:93625ms avg:212.8ms
step:460/500000 loss:4.8620 t:97956ms avg:212.9ms
step:480/500000 loss:4.6834 t:102262ms avg:213.0ms
step:500/500000 loss:4.5442 t:106588ms avg:213.2ms
step:500/500000 val_loss:4.3004 val_bpb:2.5888 train_time:106588ms zero_frac:0.421
step:520/500000 loss:4.3398 t:110882ms avg:213.2ms
step:540/500000 loss:4.2923 t:115216ms avg:213.4ms
step:560/500000 loss:4.2166 t:119521ms avg:213.4ms
step:580/500000 loss:4.0586 t:123855ms avg:213.5ms
step:600/500000 loss:4.0362 t:128206ms avg:213.7ms
step:620/500000 loss:3.9524 t:132519ms avg:213.7ms
step:640/500000 loss:3.9754 t:136849ms avg:213.8ms
step:660/500000 loss:3.9965 t:141206ms avg:213.9ms
step:680/500000 loss:3.7867 t:145845ms avg:214.5ms
step:700/500000 loss:3.7445 t:150518ms avg:215.0ms
step:720/500000 loss:3.7717 t:155192ms avg:215.5ms
step:740/500000 loss:3.5504 t:159867ms avg:216.0ms
step:760/500000 loss:3.7645 t:164538ms avg:216.5ms
step:780/500000 loss:3.7749 t:169326ms avg:217.1ms
step:800/500000 loss:3.5559 t:174019ms avg:217.5ms
step:820/500000 loss:3.6502 t:178726ms avg:218.0ms
step:840/500000 loss:3.7032 t:183429ms avg:218.4ms
step:860/500000 loss:3.6069 t:188123ms avg:218.7ms
step:880/500000 loss:3.7005 t:192823ms avg:219.1ms
step:900/500000 loss:3.5299 t:197536ms avg:219.5ms
step:920/500000 loss:3.5964 t:202243ms avg:219.8ms
step:940/500000 loss:3.2925 t:206979ms avg:220.2ms
step:960/500000 loss:3.3785 t:211704ms avg:220.5ms
step:980/500000 loss:3.4772 t:216417ms avg:220.8ms
step:1000/500000 loss:3.3958 t:221137ms avg:221.1ms
step:1000/500000 val_loss:3.3692 val_bpb:2.0282 train_time:221137ms zero_frac:0.442
step:1020/500000 loss:3.3150 t:225855ms avg:221.4ms
step:1040/500000 loss:3.4239 t:230567ms avg:221.7ms
