logs/cuda/skc_h100_s42_20260406_065753.txt
DDP enabled: 8 GPUs find_unused=1
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.025
params:32003852 L:8 d:512 h:8 kv:4 ws:8 ga:1 s:42
step:0/500000 val_loss:6.9330 val_bpb:4.1736 train_time:0ms zero_frac:0.413
step:20/500000 loss:10.8207 t:4278ms avg:213.9ms
step:40/500000 loss:6.7304 t:8331ms avg:208.3ms
step:60/500000 loss:6.7473 t:12394ms avg:206.6ms
step:80/500000 loss:6.7444 t:16465ms avg:205.8ms
step:100/500000 loss:6.7468 t:20534ms avg:205.3ms
step:120/500000 loss:6.7340 t:24588ms avg:204.9ms
step:140/500000 loss:6.8659 t:28661ms avg:204.7ms
step:160/500000 loss:6.7597 t:32795ms avg:205.0ms
step:180/500000 loss:6.7513 t:36923ms avg:205.1ms
step:200/500000 loss:6.6558 t:41106ms avg:205.5ms
step:220/500000 loss:6.5498 t:45313ms avg:206.0ms
step:240/500000 loss:6.4142 t:49505ms avg:206.3ms
step:260/500000 loss:6.2583 t:53714ms avg:206.6ms
step:280/500000 loss:5.7545 t:57900ms avg:206.8ms
step:300/500000 loss:5.6234 t:62042ms avg:206.8ms
step:320/500000 loss:5.3618 t:66320ms avg:207.3ms
step:340/500000 loss:5.1445 t:70608ms avg:207.7ms
step:360/500000 loss:5.0170 t:74899ms avg:208.1ms
step:380/500000 loss:4.8166 t:79180ms avg:208.4ms
step:400/500000 loss:4.6194 t:83540ms avg:208.8ms
step:420/500000 loss:4.4359 t:87799ms avg:209.0ms
step:440/500000 loss:4.6457 t:92102ms avg:209.3ms
step:460/500000 loss:4.1893 t:96420ms avg:209.6ms
step:480/500000 loss:4.1139 t:100711ms avg:209.8ms
step:500/500000 loss:4.0874 t:104987ms avg:210.0ms
step:500/500000 val_loss:3.8806 val_bpb:2.3360 train_time:104987ms zero_frac:0.422
step:520/500000 loss:3.9389 t:109270ms avg:210.1ms
step:540/500000 loss:3.9734 t:113552ms avg:210.3ms
step:560/500000 loss:3.9035 t:117903ms avg:210.5ms
step:580/500000 loss:3.7433 t:122174ms avg:210.6ms
step:600/500000 loss:3.7569 t:126453ms avg:210.8ms
step:620/500000 loss:3.6748 t:130753ms avg:210.9ms
step:640/500000 loss:3.6790 t:135067ms avg:211.0ms
step:660/500000 loss:3.6643 t:139392ms avg:211.2ms
step:680/500000 loss:3.5887 t:143944ms avg:211.7ms
step:700/500000 loss:3.5558 t:148568ms avg:212.2ms
step:720/500000 loss:3.5457 t:153218ms avg:212.8ms
step:740/500000 loss:3.3858 t:157847ms avg:213.3ms
step:760/500000 loss:3.6025 t:162469ms avg:213.8ms
step:780/500000 loss:3.6117 t:167189ms avg:214.3ms
step:800/500000 loss:3.4158 t:171904ms avg:214.9ms
step:820/500000 loss:3.5006 t:176548ms avg:215.3ms
step:840/500000 loss:3.5417 t:181201ms avg:215.7ms
step:860/500000 loss:3.5021 t:185827ms avg:216.1ms
step:880/500000 loss:3.5676 t:190468ms avg:216.4ms
step:900/500000 loss:3.4054 t:195110ms avg:216.8ms
step:920/500000 loss:3.4981 t:199766ms avg:217.1ms
step:940/500000 loss:3.2213 t:204394ms avg:217.4ms
step:960/500000 loss:3.3724 t:209017ms avg:217.7ms
step:980/500000 loss:3.4287 t:213637ms avg:218.0ms
step:1000/500000 loss:3.3313 t:218279ms avg:218.3ms
step:1000/500000 val_loss:3.2676 val_bpb:1.9670 train_time:218280ms zero_frac:0.448
step:1020/500000 loss:3.2664 t:222914ms avg:218.5ms
step:1040/500000 loss:3.3579 t:227553ms avg:218.8ms
step:1060/500000 loss:3.2268 t:232180ms avg:219.0ms
step:1080/500000 loss:3.2817 t:236809ms avg:219.3ms
step:1100/500000 loss:3.2209 t:241442ms avg:219.5ms
step:1120/500000 loss:3.3416 t:246065ms avg:219.7ms
step:1140/500000 loss:3.2672 t:250681ms avg:219.9ms
step:1160/500000 loss:3.3066 t:255369ms avg:220.1ms
step:1180/500000 loss:3.2492 t:259994ms avg:220.3ms
step:1200/500000 loss:3.3618 t:264734ms avg:220.6ms
step:1220/500000 loss:3.2634 t:269355ms avg:220.8ms
step:1240/500000 loss:3.2143 t:273978ms avg:220.9ms
step:1260/500000 loss:3.2874 t:278584ms avg:221.1ms
step:1280/500000 loss:3.1351 t:283200ms avg:221.3ms
step:1300/500000 loss:3.0933 t:287827ms avg:221.4ms
step:1320/500000 loss:3.4440 t:292783ms avg:221.8ms
step:1340/500000 loss:3.6204 t:298082ms avg:222.4ms
step:1360/500000 loss:3.4480 t:303374ms avg:223.1ms
step:1380/500000 loss:3.3231 t:308662ms avg:223.7ms
step:1400/500000 loss:3.3146 t:313997ms avg:224.3ms
step:1420/500000 loss:3.2622 t:319319ms avg:224.9ms
step:1440/500000 loss:3.3082 t:324639ms avg:225.4ms
step:1460/500000 loss:3.5010 t:329972ms avg:226.0ms
step:1480/500000 loss:3.0791 t:335302ms avg:226.6ms
step:1500/500000 loss:3.2485 t:340675ms avg:227.1ms
step:1500/500000 val_loss:3.0249 val_bpb:1.8209 train_time:340676ms zero_frac:0.476
step:1520/500000 loss:3.1207 t:346009ms avg:227.6ms
step:1540/500000 loss:3.3277 t:351425ms avg:228.2ms
step:1560/500000 loss:3.2908 t:356768ms avg:228.7ms
step:1580/500000 loss:3.2047 t:362105ms avg:229.2ms
step:1600/500000 loss:3.2409 t:367444ms avg:229.7ms
step:1620/500000 loss:3.3756 t:372795ms avg:230.1ms
step:1640/500000 loss:3.1796 t:378177ms avg:230.6ms
step:1660/500000 loss:3.1349 t:383550ms avg:231.1ms
step:1680/500000 loss:3.2576 t:388974ms avg:231.5ms
step:1700/500000 loss:3.2909 t:394319ms avg:232.0ms
step:1720/500000 loss:3.2253 t:399674ms avg:232.4ms
step:1740/500000 loss:3.0789 t:405028ms avg:232.8ms
step:1760/500000 loss:3.2186 t:410376ms avg:233.2ms
step:1780/500000 loss:3.2583 t:415701ms avg:233.5ms
step:1800/500000 loss:3.2086 t:421019ms avg:233.9ms
step:1820/500000 loss:3.1830 t:426326ms avg:234.2ms
step:1840/500000 loss:3.2314 t:431660ms avg:234.6ms
step:1860/500000 loss:3.8158 t:436992ms avg:234.9ms
step:1880/500000 loss:3.1984 t:442299ms avg:235.3ms
step:1900/500000 loss:3.0106 t:447618ms avg:235.6ms
step:1920/500000 loss:3.2338 t:453106ms avg:236.0ms
step:1940/500000 loss:3.2081 t:458477ms avg:236.3ms
step:1960/500000 loss:3.2549 t:463810ms avg:236.6ms
step:1980/500000 loss:3.1220 t:469136ms avg:236.9ms
step:2000/500000 loss:3.1218 t:474440ms avg:237.2ms
step:2000/500000 val_loss:2.8841 val_bpb:1.7362 train_time:474440ms zero_frac:0.492
step:2020/500000 loss:3.1568 t:479744ms avg:237.5ms
step:2040/500000 loss:3.0677 t:485066ms avg:237.8ms
step:2060/500000 loss:3.0850 t:490380ms avg:238.0ms
step:2080/500000 loss:3.0862 t:495677ms avg:238.3ms
step:2100/500000 loss:3.1799 t:501005ms avg:238.6ms
step:2120/500000 loss:3.1460 t:506330ms avg:238.8ms
step:2140/500000 loss:3.0432 t:511643ms avg:239.1ms
step:2160/500000 loss:3.1304 t:517003ms avg:239.4ms
step:2180/500000 loss:3.1259 t:522320ms avg:239.6ms
step:2200/500000 loss:3.0781 t:527635ms avg:239.8ms
step:2220/500000 loss:2.9487 t:532950ms avg:240.1ms
step:2240/500000 loss:3.0493 t:538255ms avg:240.3ms
step:2260/500000 loss:3.0837 t:543563ms avg:240.5ms
step:2280/500000 loss:2.9929 t:548862ms avg:240.7ms
step:2300/500000 loss:3.1327 t:554250ms avg:241.0ms
step:2320/500000 loss:3.1093 t:559603ms avg:241.2ms
step:2340/500000 loss:2.9584 t:564979ms avg:241.4ms
step:2360/500000 loss:2.9608 t:570298ms avg:241.7ms
step:2380/500000 loss:3.1813 t:575630ms avg:241.9ms
step:2400/500000 loss:3.0688 t:580946ms avg:242.1ms
step:2420/500000 loss:3.0547 t:586257ms avg:242.3ms
step:2440/500000 loss:3.0323 t:591575ms avg:242.4ms
step:2460/500000 loss:2.8920 t:596903ms avg:242.6ms
step:2470/500000 val_loss:2.7608 val_bpb:1.6619 train_time:599556ms zero_frac:0.496
stopping_early: wallclock_cap train_time:599556ms step:2470/500000
swa:applied count=5 tensors=126 include_ternary=0
hessian_ternary_gptq:using real held-out tokens (32768 tokens)
hessian_ternary_gptq:collecting Hessians...
hessian_ternary_gptq:collected 48 Hessian matrices
hessian_ternary_gptq:done in 11.1s
artifact:9.86MB ternary:29360128(6669047B) fp:2119436(4238872B) code:185878
budget:10043606/16000000 (10.04/16.00MB) FITS
eval_feedback_passes:2
final_ternary_roundtrip val_loss:6.7129 val_bpb:4.0411
temp_scaling optimal_T:1.10 eval_time:23844ms
final_sliding val_loss:6.5611 val_bpb:3.9490 (stride=64, T=1.10) eval_time:4767ms
ngram_cache val_loss:4.9580 val_bpb:2.9846 (order=5) eval_time:193631ms
