timestamp	name	family	hypothesis	verdict	matched_control_name	matched_control_val_bpb	matched_control_bytes_total	dataset	seed	block_layout	ssm_core	train_batch_tokens	iterations	max_wallclock_seconds	final_val_bpb	final_val_loss	eval_time_ms	bytes_model_int8_zlib	bytes_total	bytes_code	train_time_ms	step_avg_ms	duration_s	peak_memory_allocated_mib	exit_code	command_text	env_overrides_json	run_dir
20260406-031215	proxy_baseline_45s	baseline						tttmicro	1337	AAAAAAAAA	s4d	32768	1000	45.0	2.97918933	4.96904168		6189245	6243763	54518	44994	374.95	56.188376903533936	2621	0		{"CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "RUN_ID": "proxy_baseline_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\baseline\20260406-031215_proxy_baseline_45s
20260406-031341	proxy_anchor_s4d_lower3_45s	anchors						tttmicro	1337	AAASSSSSS	s4d	32768	1000	45.0	3.31635082	5.53139918		5578250	5632768	54518	39353	655.88	53.72086215019226	1528	0		{"BLOCK_LAYOUT": "AAASSSSSS", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_s4d_lower3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031341_proxy_anchor_s4d_lower3_45s
20260406-031341	proxy_parallel_s4d_all_45s	parallel						tttmicro	1337	HHHHHHHHH	s4d	32768	1000	45.0	7.14434263	11.91617327		7750834	7805352	54518	27196	1359.82	54.36077523231506	3018	0		{"BLOCK_LAYOUT": "HHHHHHHHH", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_parallel_s4d_all_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\parallel\20260406-031341_proxy_parallel_s4d_all_45s
20260406-031341	proxy_anchor_s4d_mid_45s	anchors						tttmicro	1337	AASSSASSS	s4d	32768	1000	45.0	3.1979232	5.3338717		6022025	6076543	54518	39529	494.11	54.83768367767334	1532	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_s4d_mid_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031341_proxy_anchor_s4d_mid_45s
20260406-031341	proxy_anchor_shift_lower3_45s	shift						tttmicro	1337	AAASSSSSS	shift	32768	1000	45.0	3.20124457	5.33941147		5936089	5990607	54518	38822	485.28	55.72485375404358	1496	0		{"BLOCK_LAYOUT": "AAASSSSSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_shift_lower3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "shift", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\shift\20260406-031341_proxy_anchor_shift_lower3_45s
20260406-031513	proxy_anchor_s4d_top3_45s	anchors						tttmicro	1337	AAAAAASSS	s4d	32768	1000	45.0	4.57932761	7.63794012		5283555	5338073	54518	39367	984.17	53.5036838054657	1944	0		{"BLOCK_LAYOUT": "AAAAAASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_s4d_top3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031513_proxy_anchor_s4d_top3_45s
20260406-031513	proxy_parallel_s4d_top3_45s	parallel						tttmicro	1337	AAAAAAHHH	s4d	32768	1000	45.0	6.52972067	10.89103461		6042134	6096652	54518	25110	1255.49	54.93814539909363	2730	0		{"BLOCK_LAYOUT": "AAAAAAHHH", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "3.0", "RUN_ID": "proxy_parallel_s4d_top3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\parallel\20260406-031513_proxy_parallel_s4d_top3_45s
20260406-031513	proxy_anchor_s4d_top2_45s	anchors						tttmicro	1337	AAAAAAASS	s4d	32768	1000	45.0	7.75861981	12.94073685		5183584	5238102	54518	30432	1521.58	55.03412389755249	2170	0		{"BLOCK_LAYOUT": "AAAAAAASS", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_s4d_top2_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031513_proxy_anchor_s4d_top2_45s
20260406-031513	proxy_parallel_shift_top3_45s	shift						tttmicro	1337	AAAAAAHHH	shift	32768	1000	45.0	6.49499345	10.83311248		6013848	6068366	54518	24985	1249.27	55.10622048377991	2719	0		{"BLOCK_LAYOUT": "AAAAAAHHH", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "3.0", "RUN_ID": "proxy_parallel_shift_top3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "shift", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\shift\20260406-031513_proxy_parallel_shift_top3_45s
20260406-031513	proxy_anchor_shift_top3_45s	shift						tttmicro	1337	AAAAAASSS	shift	32768	1000	45.0	6.82598394	11.38517727		5191663	5246181	54518	27045	1352.23	55.70067048072815	1944	0		{"BLOCK_LAYOUT": "AAAAAASSS", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_shift_top3_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "shift", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\shift\20260406-031513_proxy_anchor_shift_top3_45s
