W0331 01:25:32.199000 730 torch/distributed/run.py:803] 
W0331 01:25:32.199000 730 torch/distributed/run.py:803] *****************************************
W0331 01:25:32.199000 730 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0331 01:25:32.199000 730 torch/distributed/run.py:803] *****************************************
logs/train_seed314_budgetfix.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=/workspace/parameter-golf-record/data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:80
val_loader:shards pattern=/workspace/parameter-golf-record/data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:4096 cap:4096
qat:True qat_scheme:polar weight_quant_scheme:polar polar_bits:quality polar_rotate:False
model_params:17059912 (unique_layers:9 loops:1 effective_depth:9 lora_rank:0 lora_params:0)
world_size:8 grad_accum_steps:1
batch_layout:global_tokens:65536 global_seqs:256 local_microbatch_tokens:8192 local_microbatch_seqs:32
sdp_backends:cudnn=False flash=True mem_efficient=False math=False
attention_mode:gqa num_heads:8 num_kv_heads:4
triton_kv_available:True
tie_embeddings:True embed_lr:0.05 head_lr:0.0 matrix_lr:0.04 scalar_lr:0.04
train_batch_tokens:65536 train_seq_len:256 iterations:100000 warmup_steps:0 lr_warmup_steps:128 max_wallclock_seconds:600.000
wallclock_budget:train=585.000s finalize=15.000s total=600.000s
seed:314
torch_compile:False
log_sync_to_disk:True
kv_eval:enabled=True backend=qjl bits_mode=balanced group_size=16 context_len=256 max_tokens=512 baseline=float compare=qjl
pre_training_overhead:6610ms train_budget_after_setup:578390ms
step:1/100000 train_loss:6.9432 train_time:834ms step_avg:834.00ms lr_scale:0.1070 muon_momentum:0.8500
step:2/100000 train_loss:6.4601 train_time:988ms step_avg:494.14ms lr_scale:0.0630 muon_momentum:0.8502
step:3/100000 train_loss:6.0011 train_time:1216ms step_avg:405.22ms lr_scale:0.1071 muon_momentum:0.8504
step:4/100000 train_loss:5.8316 train_time:1428ms step_avg:357.10ms lr_scale:0.1281 muon_momentum:0.8506
step:5/100000 train_loss:5.7590 train_time:1638ms step_avg:327.51ms lr_scale:0.1352 muon_momentum:0.8508
step:6/100000 train_loss:5.8129 train_time:1856ms step_avg:309.36ms lr_scale:0.1422 muon_momentum:0.8510
step:7/100000 train_loss:5.5711 train_time:2064ms step_avg:294.82ms lr_scale:0.1492 muon_momentum:0.8512
step:8/100000 train_loss:5.4932 train_time:2280ms step_avg:284.97ms lr_scale:0.1562 muon_momentum:0.8514
step:9/100000 train_loss:5.5643 train_time:2492ms step_avg:276.88ms lr_scale:0.1633 muon_momentum:0.8516
step:10/100000 train_loss:5.5921 train_time:2711ms step_avg:271.09ms lr_scale:0.1703 muon_momentum:0.8518
step:20/100000 train_loss:5.2341 train_time:4771ms step_avg:238.53ms lr_scale:0.2406 muon_momentum:0.8538
step:40/100000 train_loss:4.3362 train_time:8927ms step_avg:223.16ms lr_scale:0.3812 muon_momentum:0.8578
step:60/100000 train_loss:4.2945 train_time:12373ms step_avg:206.22ms lr_scale:0.5219 muon_momentum:0.8618
step:80/100000 train_loss:3.9156 train_time:15287ms step_avg:191.09ms lr_scale:0.6625 muon_momentum:0.8658
step:100/100000 train_loss:3.7404 train_time:18226ms step_avg:182.26ms lr_scale:0.8031 muon_momentum:0.8698
step:120/100000 train_loss:3.5086 train_time:21162ms step_avg:176.35ms lr_scale:0.9437 muon_momentum:0.8738
step:140/100000 train_loss:3.4551 train_time:24069ms step_avg:171.92ms lr_scale:1.0000 muon_momentum:0.8778
step:160/100000 train_loss:3.2923 train_time:27006ms step_avg:168.79ms lr_scale:1.0000 muon_momentum:0.8818
step:180/100000 train_loss:3.4051 train_time:29954ms step_avg:166.41ms lr_scale:1.0000 muon_momentum:0.8858
step:200/100000 train_loss:3.3071 train_time:32890ms step_avg:164.45ms lr_scale:1.0000 muon_momentum:0.8898
step:220/100000 train_loss:3.3704 train_time:35804ms step_avg:162.75ms lr_scale:1.0000 muon_momentum:0.8938
step:240/100000 train_loss:3.2639 train_time:38708ms step_avg:161.28ms lr_scale:1.0000 muon_momentum:0.8978
step:260/100000 train_loss:3.9274 train_time:41636ms step_avg:160.14ms lr_scale:1.0000 muon_momentum:0.9018
step:280/100000 train_loss:3.1172 train_time:44556ms step_avg:159.13ms lr_scale:1.0000 muon_momentum:0.9058
