Device: cuda
Loading data/datasets/fineweb10B_sp8192/fineweb_val_000000.bin...
  40,540,803 tokens
  vocab_size: 8192
  train: 4,000,000  eval: 300,000
  model: 5,387,776 params
  step 50/4000  loss=10.4690  (3s, 15.3 steps/s)
  step 100/4000  loss=7.2377  (6s, 15.9 steps/s)
  step 150/4000  loss=7.1083  (9s, 16.1 steps/s)
  step 200/4000  loss=6.8967  (12s, 16.2 steps/s)
  step 250/4000  loss=6.8668  (15s, 16.3 steps/s)
  step 300/4000  loss=6.8521  (18s, 16.3 steps/s)
  step 350/4000  loss=6.7211  (21s, 16.4 steps/s)
  step 400/4000  loss=6.7363  (24s, 16.4 steps/s)
  step 450/4000  loss=6.5254  (27s, 16.4 steps/s)
  step 500/4000  loss=6.5587  (31s, 16.4 steps/s)
  step 550/4000  loss=6.4740  (34s, 16.4 steps/s)
  step 600/4000  loss=6.3496  (37s, 16.4 steps/s)
  step 650/4000  loss=6.3548  (40s, 16.4 steps/s)
  step 700/4000  loss=6.3071  (43s, 16.4 steps/s)
  step 750/4000  loss=6.1592  (46s, 16.4 steps/s)
  step 800/4000  loss=6.2770  (49s, 16.4 steps/s)
  step 850/4000  loss=6.2636  (52s, 16.4 steps/s)
  step 900/4000  loss=6.1373  (55s, 16.4 steps/s)
  step 950/4000  loss=6.1451  (58s, 16.4 steps/s)
  step 1000/4000  loss=6.0787  (61s, 16.4 steps/s)
  step 1050/4000  loss=6.0786  (64s, 16.4 steps/s)
  step 1100/4000  loss=6.0541  (67s, 16.4 steps/s)
  step 1150/4000  loss=6.0310  (70s, 16.4 steps/s)
  step 1200/4000  loss=5.8983  (73s, 16.3 steps/s)
  step 1250/4000  loss=5.9693  (76s, 16.3 steps/s)
  step 1300/4000  loss=5.9328  (80s, 16.3 steps/s)
  step 1350/4000  loss=5.9017  (83s, 16.3 steps/s)
  step 1400/4000  loss=5.7240  (86s, 16.3 steps/s)
  step 1450/4000  loss=5.6342  (89s, 16.3 steps/s)
  step 1500/4000  loss=5.7340  (92s, 16.3 steps/s)
  step 1550/4000  loss=5.6005  (95s, 16.3 steps/s)
  step 1600/4000  loss=5.5144  (98s, 16.3 steps/s)
  step 1650/4000  loss=5.6368  (101s, 16.3 steps/s)
  step 1700/4000  loss=5.4371  (104s, 16.3 steps/s)
