step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
1,6968043.970676,0.000,29746.5,57155.2,6929.9,1941.0,683934208,46393196544,0,345,0
2,6968044.177327,206.651,30642.9,58002.3,16267.2,157.1,683934720,46393196544,0,345,0
3,6968044.384953,207.626,30727.5,57542.2,17230.2,153.3,683934720,46393196544,0,345,0
4,6968044.595122,210.169,30611.2,58115.1,17184.4,154.1,683934720,46393196544,0,345,0
5,6968044.805736,210.614,30245.3,57876.1,17458.3,158.1,683934720,46393196544,0,345,0
6,6968045.020334,214.598,30054.8,57751.5,18520.9,166.2,683934720,46393196544,0,345,0
7,6968045.219477,199.143,30222.1,57181.3,20516.8,159.2,683934720,46393196544,0,345,0
8,6968045.417761,198.284,30723.3,58057.0,18860.9,157.7,683934720,46393196544,0,345,0
9,6968045.614847,197.086,30126.8,57771.5,18810.6,156.5,683934720,46393196544,0,345,0
10,6968045.812504,197.657,31082.3,58761.3,15030.0,161.5,683934720,46393196544,0,345,0
11,6968046.011102,198.598,30264.6,57979.3,19290.8,156.9,683934720,46393196544,0,345,0
12,6968046.211964,200.862,30978.9,58318.1,21074.8,160.2,683934720,46393196544,0,345,0
13,6968046.408852,196.888,30476.2,57853.9,18112.5,183.2,683934720,46393196544,0,345,0
14,6968046.605539,196.687,30448.2,57530.9,19059.7,157.1,683934720,46393196544,0,345,0
15,6968046.802645,197.105,30583.7,57745.1,18284.3,158.5,683934720,46393196544,0,345,0
16,6968046.999102,196.457,30197.6,57952.2,17232.9,158.4,683934720,46393196544,0,345,0
17,6968047.195931,196.830,30390.0,57455.6,17132.2,160.4,683934720,46393196544,0,345,0
18,6968047.392571,196.640,30122.7,58020.0,17505.1,161.2,683934720,46393196544,0,345,0
19,6968047.589665,197.093,30316.1,57462.6,18655.2,163.6,683934720,46393196544,0,345,0
20,6968047.786029,196.364,31207.0,58228.8,16972.8,161.1,683934720,46393196544,0,345,0
21,6968047.983109,197.080,30531.4,57518.2,17939.5,161.1,683934720,46393196544,0,345,0
22,6968048.180769,197.660,30534.7,57759.6,18182.8,158.1,683934720,46393196544,0,345,0
23,6968048.379891,199.122,30353.2,57842.2,19532.3,158.2,683934720,46393196544,0,345,0
24,6968048.578298,198.406,30229.4,57853.6,19098.6,167.0,683934720,46393196544,0,345,0
25,6968048.776085,197.788,30463.6,58330.4,18315.3,157.3,683934720,46393196544,0,345,0
26,6968048.973712,197.627,30505.7,57733.4,18777.5,167.6,683934720,46393196544,0,345,0
27,6968049.170948,197.236,30266.7,58095.5,17060.4,156.0,683934720,46393196544,0,345,0
28,6968049.367687,196.738,30449.8,58349.2,16621.6,159.7,683934720,46393196544,0,345,0
29,6968049.565456,197.769,30637.5,58128.2,18243.1,147.4,683934720,46393196544,0,345,0
30,6968049.762645,197.190,30391.6,58130.6,18021.1,148.7,683934720,46393196544,0,345,0
31,6968049.960356,197.710,30663.3,57727.6,17465.3,156.5,683934720,46393196544,0,345,0
32,6968050.158549,198.194,30450.5,58455.1,18088.0,163.7,683934720,46393196544,0,345,0
33,6968050.356592,198.043,30341.9,57622.2,19211.0,158.6,683934720,46393196544,0,345,0
34,6968050.555813,199.221,30867.9,58158.9,19038.2,154.6,683934720,46393196544,0,345,0
35,6968050.753091,197.278,30702.7,58080.9,17883.3,159.1,683934720,46393196544,0,345,0
36,6968050.951691,198.600,31503.6,59399.1,16926.9,156.8,683934720,46393196544,0,345,0
37,6968051.152569,200.878,30656.5,57810.4,20797.1,153.4,683934720,46393196544,0,345,0
38,6968051.350337,197.768,30459.9,58371.1,17852.4,165.8,683934720,46393196544,0,345,0
39,6968051.547108,196.771,30692.2,58579.8,14431.1,157.4,683934720,46393196544,0,345,0
40,6968051.744840,197.732,30645.9,58342.6,17726.4,164.1,683934720,46393196544,0,345,0
41,6968051.945296,200.456,30960.3,58337.4,20520.7,160.6,683934720,46393196544,0,345,0
42,6968052.142683,197.387,30514.5,57573.4,18637.4,161.8,683934720,46393196544,0,345,0
43,6968052.340710,198.028,30556.8,57581.5,18657.1,159.0,683934720,46393196544,0,345,0
44,6968052.539892,199.181,30347.7,58018.0,20549.1,158.7,683934720,46393196544,0,345,0
45,6968052.737722,197.830,30373.5,57651.7,18591.6,182.2,683934720,46393196544,0,345,0
46,6968052.938288,200.566,30688.4,58077.2,20475.0,157.8,683934720,46393196544,0,345,0
47,6968053.137754,199.466,30510.7,57551.3,20445.3,160.3,683934720,46393196544,0,345,0
48,6968053.336276,198.522,30930.2,58169.3,18272.4,159.3,683934720,46393196544,0,345,0
49,6968053.534291,198.015,30559.8,57740.5,18276.6,159.9,683934720,46393196544,0,345,0
50,6968053.732987,198.695,30637.8,57939.4,19529.1,164.8,683934720,46393196544,0,345,0
51,6968053.929615,196.628,30570.2,57623.6,17456.6,164.1,683934720,46393196544,0,345,0
52,6968054.129684,200.069,30891.1,58066.8,19639.9,159.0,683934720,46393196544,0,345,0
53,6968054.327279,197.595,30525.2,58386.7,18007.0,161.5,683934720,46393196544,0,345,0
54,6968054.531538,204.259,30760.6,58288.1,24111.1,157.9,683934720,46393196544,0,345,0
55,6968054.729533,197.995,31011.3,58106.9,18301.3,161.8,683934720,46393196544,0,345,0
56,6968054.926287,196.754,30810.0,57910.3,16466.2,160.2,683934720,46393196544,0,345,0
57,6968055.124589,198.302,30570.4,57547.2,20075.8,156.9,683934720,46393196544,0,345,0
58,6968055.323157,198.568,30336.6,57989.3,19687.8,154.4,683934720,46393196544,0,345,0
59,6968055.521431,198.273,30565.3,57483.9,19242.3,155.8,683934720,46393196544,0,345,0
60,6968055.719608,198.177,30662.2,58023.2,18617.9,154.6,683934720,46393196544,0,345,0
61,6968055.915787,196.179,30439.2,58208.1,14739.9,157.1,683934720,46393196544,0,345,0
62,6968056.111636,195.849,30479.1,57828.3,16268.4,160.7,683934720,46393196544,0,345,0
63,6968056.309275,197.639,30794.7,58197.6,18121.3,166.3,683934720,46393196544,0,345,0
64,6968056.505233,195.958,30944.3,57925.1,16643.3,153.9,683934720,46393196544,0,345,0
65,6968056.703072,197.838,30426.7,57587.1,19067.3,153.2,683934720,46393196544,0,345,0
66,6968056.900868,197.796,30771.2,57932.6,18306.7,158.9,683934720,46393196544,0,345,0
67,6968057.098386,197.517,30284.8,57951.9,18667.7,165.7,683934720,46393196544,0,345,0
68,6968057.296821,198.435,30448.2,58077.2,18805.2,162.8,683934720,46393196544,0,345,0
69,6968057.493816,196.995,30598.0,57865.3,18103.8,148.6,683934720,46393196544,0,345,0
70,6968057.693147,199.331,30420.7,58221.5,18882.6,160.5,683934720,46393196544,0,345,0
71,6968057.890685,197.539,30502.4,57579.7,18637.4,158.4,683934720,46393196544,0,345,0
72,6968058.088784,198.098,30665.8,57840.0,18167.6,159.6,683934720,46393196544,0,345,0
73,6968058.286798,198.014,30521.1,58192.1,16768.1,164.9,683934720,46393196544,0,345,0
74,6968058.485491,198.693,30743.1,57827.0,18992.3,259.2,683934720,46393196544,0,345,0
75,6968058.687329,201.838,31011.9,58478.0,22373.6,147.0,683934720,46393196544,0,345,0
76,6968058.886356,199.027,30694.9,57957.9,19914.2,156.3,683934720,46393196544,0,345,0
