step,train_loss,train_time_min,tok_per_s
1,9.0072,0.0,7491449
2,12.2656,0.0,7408803
3,11.1125,0.0,7385770
4,9.5468,0.0,7372453
5,8.3773,0.0,7370148
10,6.8593,0.0,7503991
15,6.2946,0.0,7614758
20,5.7998,0.0,7654435
25,5.6209,0.0,7674596
30,5.4627,0.1,7696300
35,5.3186,0.1,7703565
40,5.2897,0.1,7714141
45,5.2193,0.1,7222759
50,5.1973,0.1,6872995
55,5.0835,0.1,6528080
60,5.0737,0.1,6302387
65,4.944,0.1,6109962
70,4.9024,0.2,5888445
75,4.8697,0.2,5705453
80,4.7725,0.2,5545630
85,4.7542,0.2,5421769
90,4.6384,0.2,5316180
95,4.5124,0.2,5231201
100,4.5217,0.3,4755057
105,4.4065,0.3,4721256
110,4.2554,0.3,4691763
115,4.255,0.3,4659201
120,4.116,0.3,4634159
125,4.1567,0.4,4606857
130,4.0505,0.4,4586264
135,4.1473,0.4,4569010
140,3.9331,0.4,4556437
145,4.0848,0.4,4543067
150,3.895,0.4,4536194
155,3.9036,0.4,4524829
160,3.8634,0.5,4518504
165,3.8319,0.5,4513595
170,3.811,0.5,4508250
175,3.7307,0.5,4502898
180,3.7904,0.5,4497705
185,3.6567,0.5,4490329
190,3.7254,0.6,4489562
195,3.6512,0.6,4487979
200,3.6657,0.6,4332144
205,3.6827,0.6,4336498
210,3.6998,0.6,4335637
215,3.6159,0.6,4338142
220,3.6449,0.7,4340098
225,3.5929,0.7,4341609
230,3.6038,0.7,4346399
235,3.6047,0.7,4351516
240,3.6124,0.7,4352727
245,3.6042,0.7,4355723
250,3.5808,0.8,4356924
255,3.6097,0.8,4357350
260,3.5935,0.8,4358875
265,3.551,0.8,4361025
270,3.4136,0.8,4363259
275,3.5647,0.8,4365194
280,3.542,0.8,4368491
285,3.5346,0.9,4370733
290,3.4738,0.9,4372864
295,3.5109,0.9,4377675
300,3.507,0.9,4271909
305,3.4412,0.9,4277224
310,3.4174,0.9,4282288
315,3.4662,1.0,4287935
320,3.451,1.0,4295235
325,3.5147,1.0,4301299
330,3.5,1.0,4307627
335,3.4075,1.0,4312938
340,3.449,1.0,4317345
345,3.4613,1.0,4323260
350,3.4765,1.1,4328106
355,3.3517,1.1,4333238
360,3.4054,1.1,4338833
365,3.4859,1.1,4345090
370,3.3902,1.1,4352453
375,3.4071,1.1,4358180
380,3.4107,1.1,4364721
385,3.3668,1.2,4370678
390,3.3196,1.2,4377382
395,3.3425,1.2,4383667
400,3.348,1.2,4311187
405,3.3842,1.2,4315846
410,3.3548,1.2,4318957
415,3.3764,1.3,4322179
420,3.3466,1.3,4324168
425,3.3481,1.3,4326276
430,3.3408,1.3,4333768
435,3.4384,1.3,4340787
440,3.3143,1.3,4346946
445,3.4609,1.3,4353777
450,3.4819,1.4,4359726
455,3.2715,1.4,4366260
460,3.3427,1.4,4373149
465,3.4285,1.4,4379495
470,3.3883,1.4,4386130
475,3.3158,1.4,4392436
480,3.3015,1.4,4398459
485,3.3259,1.4,4403433
490,3.361,1.5,4410088
495,3.3561,1.5,4418010
500,3.3096,1.5,4361378
505,3.3629,1.5,4368558
510,3.2985,1.5,4375879
515,3.265,1.5,4381359
520,3.3521,1.6,4387945
525,3.3233,1.6,4394625
530,3.3294,1.6,4400787
535,3.2663,1.6,4406970
540,3.3917,1.6,4412801
545,3.296,1.6,4418835
550,3.2188,1.6,4425170
555,3.2966,1.6,4431892
560,3.3516,1.7,4437934
565,3.3879,1.7,4444825
570,3.3519,1.7,4451563
575,3.2877,1.7,4458803
580,3.25,1.7,4465682
585,3.1865,1.7,4472930
590,3.3968,1.7,4479136
595,3.3255,1.7,4485180
600,3.3835,1.8,4434341
605,3.2585,1.8,4442776
610,3.2803,1.8,4452273
615,3.3568,1.8,4461175
620,3.276,1.8,4470378
625,3.2393,1.8,4479650
630,3.2211,1.8,4489505
635,3.3784,1.9,4498213
640,3.179,1.9,4506392
645,3.2436,1.9,4515291
650,3.256,1.9,4523751
655,3.3198,1.9,4531277
660,3.1973,1.9,4539445
665,3.2325,1.9,4546646
670,3.2869,1.9,4555497
675,3.2208,1.9,4562257
680,3.273,1.9,4571172
685,3.3878,2.0,4577302
690,3.3551,2.0,4583794
695,3.1544,2.0,4591951
700,3.2923,2.0,4552686
705,3.2051,2.0,4558619
710,3.2496,2.0,4564928
715,3.1266,2.1,4571121
720,3.238,2.1,4577378
725,3.2436,2.1,4584018
730,3.2614,2.1,4590732
735,3.3043,2.1,4597297
740,3.3095,2.1,4603964
745,3.3538,2.1,4610544
750,3.2438,2.1,4616583
755,3.2173,2.1,4623072
760,3.1935,2.2,4629846
765,3.2426,2.2,4636215
770,3.3128,2.2,4642947
775,3.2797,2.2,4649657
780,3.1766,2.2,4656072
785,3.2352,2.2,4661957
790,3.3302,2.2,4667871
795,3.3039,2.2,4673820
800,3.2528,2.3,4635110
805,3.149,2.3,4641196
810,3.267,2.3,4646972
815,3.3058,2.3,4653227
